FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,,STEPHANIE A. KIFOWIT,,,,,HOLLY KIM,,,,,MARGARET CROKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 042,847,2,9,17,0,28,1,0,3,0,4,3,11,12,0,26,19,18,21,0,58,116
Downers Grove 043,1000,3,12,20,0,35,0,0,5,0,5,15,6,20,0,41,7,12,28,0,47,128
Downers Grove 044,840,10,5,12,0,27,3,3,6,0,12,16,14,19,0,49,12,23,23,0,58,146
Downers Grove 045,1172,10,15,40,0,65,11,7,14,0,32,16,14,34,0,64,19,19,51,0,89,250
Downers Grove 046,1282,14,12,16,0,42,8,13,4,0,25,25,35,20,0,80,28,34,44,0,106,253
Downers Grove 047,1299,19,9,28,0,56,1,11,7,0,19,10,16,22,0,48,15,17,30,0,62,185
Downers Grove 048,1008,7,12,32,0,51,4,3,4,0,11,11,17,15,0,43,5,7,22,0,34,139
Downers Grove 049,967,6,7,6,0,19,3,5,2,0,10,13,31,19,0,63,9,8,16,0,33,125
Downers Grove 050,946,17,8,13,0,38,3,6,9,0,18,17,8,27,0,52,9,12,23,0,44,152
Downers Grove 051,1202,5,10,28,0,43,4,2,7,0,13,8,15,22,0,45,5,12,28,0,45,146
Downers Grove 052,975,9,6,27,0,42,3,1,3,0,7,6,10,8,0,24,11,23,14,0,48,121
Downers Grove 053,1246,17,16,26,0,59,2,8,8,0,18,13,20,30,0,63,18,26,25,0,69,209
Downers Grove 054,1087,15,8,17,0,40,4,6,6,0,16,13,17,24,0,54,17,15,25,0,57,167
Downers Grove 055,964,16,7,10,0,33,8,4,5,0,17,21,13,23,0,57,20,17,28,0,65,172
Downers Grove 056,1054,15,15,20,0,50,3,14,4,0,21,22,21,10,0,53,16,20,21,0,57,181
Downers Grove 057,1310,12,17,30,0,59,5,3,8,0,16,10,5,17,0,32,11,19,20,0,50,157
Downers Grove 058,1109,10,14,20,0,44,2,6,8,0,16,6,14,17,0,37,17,17,12,0,46,143
Downers Grove 059,1319,13,14,25,1,53,2,4,9,0,15,7,29,26,0,62,26,37,62,0,125,255
Downers Grove 060,1063,3,7,28,0,38,4,0,3,0,7,15,9,20,0,44,12,3,27,0,42,131
Downers Grove 061,854,11,12,15,0,38,0,7,4,0,11,34,25,9,0,68,6,12,20,0,38,155
Downers Grove 062,1200,8,16,20,0,44,4,8,4,0,16,41,48,34,0,123,16,10,34,0,60,243
Downers Grove 063,1050,11,22,11,0,44,7,5,6,0,18,26,35,17,0,78,20,26,26,0,72,212
Downers Grove 064,902,18,19,6,0,43,4,6,11,0,21,18,17,8,0,43,15,21,16,0,52,159
Downers Grove 065,971,7,10,14,0,31,2,11,7,0,20,15,25,36,0,76,14,28,55,0,97,224
Downers Grove 066,908,3,14,21,0,38,2,4,4,0,10,13,15,13,0,41,20,23,27,0,70,159
Downers Grove 067,903,9,10,17,0,36,3,6,2,0,11,6,16,15,0,37,12,8,30,0,50,134
Downers Grove 068,1022,19,21,24,0,64,5,3,7,0,15,9,10,18,0,37,23,19,22,0,64,180
Downers Grove 069,1245,9,25,29,0,63,4,9,6,0,19,8,17,21,0,46,16,20,19,0,55,183
Downers Grove 070,901,14,10,11,0,35,4,1,4,0,9,12,13,14,0,39,22,4,21,0,47,130
Downers Grove 071,971,13,12,25,0,50,2,4,6,0,12,23,6,18,0,47,16,4,18,0,38,147
Downers Grove 072,1068,8,15,22,0,45,4,6,6,0,16,11,8,21,0,40,12,11,28,0,51,152
Downers Grove 073,1190,6,10,26,0,42,2,0,8,0,10,4,13,23,0,40,5,12,17,0,34,126
Downers Grove 074,1004,10,19,21,0,50,3,7,4,0,14,9,24,18,0,51,8,14,32,0,54,169
Downers Grove 075,907,7,8,21,0,36,2,1,3,0,6,3,7,9,0,19,7,10,15,0,32,93
Downers Grove 076,1175,13,4,22,0,39,4,3,6,0,13,12,9,12,0,33,11,16,19,0,46,131
Downers Grove 077,1133,11,18,24,0,53,6,8,7,0,21,13,18,17,0,48,7,24,29,0,60,182
Downers Grove 078,1279,11,15,31,0,57,2,6,10,0,18,13,15,14,0,42,21,14,40,0,75,192
Downers Grove 079,961,4,14,19,1,38,5,5,1,0,11,14,10,14,0,38,23,25,17,0,65,152
Downers Grove 080,1087,8,14,16,0,38,2,13,6,0,21,12,19,15,0,46,10,18,27,1,56,161
Downers Grove 081,822,3,3,20,0,26,1,4,4,0,9,5,9,12,0,26,7,12,16,0,35,96
Downers Grove 082,988,10,8,16,0,34,3,4,14,0,21,11,16,20,0,47,13,14,29,0,56,158
Downers Grove 083,1290,5,13,29,0,47,1,5,6,0,12,7,13,18,0,38,6,24,33,0,63,160
Downers Grove 084,994,7,10,18,0,35,4,4,6,0,14,4,3,16,0,23,12,12,27,0,51,123
Downers Grove 085,1266,9,19,31,0,59,6,13,5,0,24,9,18,27,0,54,13,27,35,0,75,212
Downers Grove 086,1206,10,12,12,0,34,4,5,13,0,22,9,8,12,0,29,18,20,29,0,67,152
Downers Grove 087,1165,12,12,18,0,42,2,7,11,0,20,14,12,26,1,53,24,26,31,2,83,198
Downers Grove 088,775,9,5,23,0,37,2,3,6,0,11,10,10,11,0,31,9,12,15,0,36,115
Downers Grove 089,1151,10,9,21,0,40,2,3,8,0,13,15,15,32,0,62,9,19,33,0,61,176
Downers Grove 090,1157,9,19,19,0,47,3,5,8,0,16,7,23,28,0,58,10,38,23,0,71,192
Downers Grove 091,924,10,18,27,0,55,5,4,5,0,14,8,12,6,0,26,11,11,15,0,37,132
Downers Grove 092,963,8,14,28,0,50,1,12,4,0,17,4,7,21,0,32,7,9,29,0,45,144
Downers Grove 093,1173,11,11,44,0,66,4,2,5,0,11,3,13,25,0,41,6,2,27,0,35,153
Downers Grove 094,1235,4,10,23,0,37,7,12,7,0,26,19,14,25,0,58,19,25,28,0,72,193
Downers Grove 095,845,13,17,19,0,49,2,6,4,0,12,6,5,14,0,25,11,6,25,0,42,128
Downers Grove 096,1056,11,11,29,0,51,0,5,1,0,6,0,7,12,0,19,6,11,21,0,38,114
Downers Grove 097,982,10,6,11,0,27,2,4,5,0,11,7,19,11,0,37,13,24,28,0,65,140
Downers Grove 098,1136,11,8,16,0,35,2,1,3,0,6,8,9,13,0,30,9,14,18,0,41,112
