FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 051,1175,3,2,7,0,12,6,5,31,0,42,1,5,12,0,18,0,1,4,0,5,0,1,2,0,3,5,4,34,0,43,123
Bloomingdale 052,1132,0,0,9,0,9,1,3,13,0,17,0,0,7,0,7,1,1,2,0,4,0,1,3,0,4,7,5,21,0,33,74
Bloomingdale 053,839,0,4,2,0,6,1,3,6,0,10,2,0,6,0,8,0,2,4,0,6,1,0,3,0,4,0,0,4,0,4,38
Bloomingdale 054,1187,1,0,7,0,8,1,0,8,0,9,10,4,21,0,35,3,3,2,0,8,0,0,2,0,2,4,1,6,0,11,73
Bloomingdale 055,815,0,0,5,0,5,0,1,8,0,9,1,0,2,0,3,0,1,2,0,3,0,2,1,0,3,1,1,5,0,7,30
Bloomingdale 056,1042,2,0,2,0,4,5,3,4,0,12,3,1,5,0,9,0,1,3,0,4,0,0,1,0,1,2,0,6,0,8,38
Bloomingdale 057,705,0,0,3,0,3,3,0,1,0,4,0,1,5,0,6,2,1,1,0,4,0,0,1,0,1,2,0,5,0,7,25
Bloomingdale 058,1358,4,1,4,0,9,8,1,9,0,18,2,0,3,0,5,2,2,4,0,8,0,0,1,0,1,11,1,7,0,19,60
Bloomingdale 059,925,1,2,5,0,8,4,0,2,0,6,2,1,0,0,3,0,0,0,0,0,0,0,1,0,1,4,1,5,0,10,28
Bloomingdale 060,1095,1,1,3,0,5,4,1,11,0,16,0,0,5,0,5,2,1,1,0,4,0,1,3,0,4,4,0,12,0,16,50
Bloomingdale 061,1056,2,0,5,0,7,1,1,20,0,22,0,0,6,0,6,1,0,3,0,4,0,0,3,0,3,4,1,26,0,31,73
Bloomingdale 062,1047,1,1,5,0,7,1,1,27,0,29,1,0,8,0,9,1,1,8,0,10,1,4,2,0,7,7,4,24,0,35,97
Bloomingdale 063,1053,1,1,4,0,6,2,1,19,0,22,1,3,8,0,12,0,1,3,0,4,0,2,1,0,3,4,3,20,0,27,74
Bloomingdale 064,1395,2,1,3,0,6,1,3,9,0,13,5,3,5,0,13,3,0,3,0,6,2,0,6,0,8,4,0,10,1,15,61
Bloomingdale 065,1265,0,1,6,0,7,6,5,5,0,16,4,3,5,0,12,1,1,7,0,9,0,0,3,0,3,3,6,15,0,24,71
Bloomingdale 066,1091,3,0,5,0,8,7,2,3,0,12,0,0,1,0,1,0,0,2,0,2,0,1,1,0,2,3,0,4,0,7,32
Bloomingdale 067,686,1,2,8,0,11,4,46,62,0,112,1,3,6,0,10,0,4,1,0,5,1,0,2,0,3,2,11,21,0,34,175
Bloomingdale 068,1157,0,5,1,0,6,7,3,8,0,18,0,0,3,0,3,1,0,6,0,7,0,0,1,0,1,7,4,22,0,33,68
Bloomingdale 069,982,2,0,4,0,6,3,6,6,0,15,1,1,1,0,3,3,3,2,0,8,1,1,0,0,2,3,2,4,0,9,43
Bloomingdale 070,897,1,5,1,0,7,2,5,5,0,12,1,0,5,0,6,0,2,1,0,3,0,0,5,0,5,0,1,7,0,8,41
Bloomingdale 071,1295,1,2,8,0,11,1,1,7,0,9,0,1,5,0,6,5,0,1,0,6,3,0,4,0,7,3,1,16,0,20,59
Bloomingdale 072,993,2,1,7,0,10,3,1,12,0,16,0,2,7,0,9,3,0,3,0,6,0,1,3,0,4,6,1,5,0,12,57
Downers Grove 001,596,1,6,8,0,15,9,3,14,0,26,3,1,6,0,10,0,0,1,0,1,0,1,0,0,1,8,2,11,0,21,74
Downers Grove 002,1189,4,0,8,0,12,9,9,11,0,29,1,4,3,0,8,2,1,2,0,5,2,2,3,0,7,5,1,12,0,18,79
Downers Grove 003,1182,2,4,5,0,11,7,7,22,0,36,1,2,4,0,7,2,1,5,0,8,0,1,5,0,6,8,6,25,0,39,107
Downers Grove 004,1174,2,3,10,0,15,9,0,15,0,24,3,1,6,0,10,1,2,5,0,8,0,1,4,0,5,13,1,13,0,27,89
Downers Grove 005,1148,0,1,13,0,14,10,4,18,0,32,3,2,7,0,12,1,1,6,0,8,2,0,0,0,2,3,7,9,0,19,87
Downers Grove 006,1221,2,0,5,0,7,14,12,8,0,34,0,1,4,0,5,1,0,3,0,4,0,0,0,0,0,17,6,15,0,38,88
Downers Grove 007,1167,1,0,1,0,2,2,7,4,0,13,2,2,2,0,6,16,4,4,0,24,1,0,0,0,1,9,4,6,0,19,65
Downers Grove 008,1221,2,0,2,0,4,8,1,9,0,18,2,1,2,0,5,3,0,2,0,5,0,2,1,0,3,11,5,25,0,41,76
Downers Grove 009,1170,2,5,6,0,13,17,11,8,0,36,4,3,5,0,12,2,0,0,0,2,2,0,1,0,3,10,3,14,0,27,93
Downers Grove 010,1078,4,1,5,0,10,5,2,12,0,19,1,1,3,0,5,3,2,4,0,9,2,0,2,0,4,6,3,18,0,27,74
Downers Grove 011,1074,0,2,1,0,3,17,10,12,0,39,2,0,1,0,3,3,1,1,0,5,1,0,0,0,1,8,2,10,0,20,71
Downers Grove 012,1141,2,1,1,0,4,7,11,10,0,28,2,1,3,0,6,2,0,1,0,3,0,2,0,0,2,17,2,19,0,38,81
Downers Grove 013,1076,2,2,4,0,8,8,2,8,0,18,1,1,3,0,5,0,5,4,0,9,0,1,1,0,2,8,3,19,0,30,72
Downers Grove 014,1059,2,1,5,0,8,3,7,16,0,26,1,0,1,0,2,3,3,3,0,9,0,1,1,0,2,7,4,14,0,25,72
Downers Grove 015,1224,5,2,5,0,12,8,3,14,0,25,3,1,3,0,7,3,6,1,0,10,2,0,1,0,3,18,2,13,0,33,90
Downers Grove 016,1169,3,2,5,0,10,12,6,11,0,29,1,0,2,0,3,7,3,3,0,13,0,0,2,0,2,11,2,14,0,27,84
Downers Grove 017,952,2,2,1,0,5,11,3,9,0,23,10,4,3,0,17,3,0,1,0,4,2,0,0,0,2,5,1,7,0,13,64
Downers Grove 018,817,1,2,4,0,7,2,7,12,0,21,0,1,8,0,9,3,0,7,0,10,1,0,1,0,2,4,3,9,0,16,65
Downers Grove 019,902,0,0,2,0,2,9,6,6,0,21,2,1,1,0,4,0,2,1,0,3,2,0,1,0,3,3,2,7,0,12,45
Downers Grove 020,1143,0,0,2,0,2,5,13,16,0,34,1,1,3,0,5,0,2,1,0,3,0,2,2,0,4,5,2,14,0,21,69
Downers Grove 021,1162,2,1,5,0,8,27,9,7,0,43,4,3,4,0,11,0,0,4,0,4,1,2,0,0,3,11,0,9,0,20,89
Downers Grove 022,1058,2,1,2,0,5,8,8,8,0,24,0,0,2,0,2,2,2,0,0,4,0,0,2,0,2,4,2,3,0,9,46
Downers Grove 023,907,1,5,0,0,6,4,11,5,0,20,0,3,1,0,4,1,0,1,0,2,1,0,0,0,1,8,3,3,0,14,47
