FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 043,1000,11,1,25,0,37,4,2,10,0,16,0,2,15,0,17,0,2,5,0,7,77
Downers Grove 044,840,3,2,15,0,20,4,4,11,0,19,4,5,9,0,18,3,1,5,0,9,66
Downers Grove 045,1172,10,4,29,0,43,11,1,12,0,24,1,8,5,0,14,0,0,1,0,1,82
Downers Grove 046,1282,35,9,40,0,84,6,1,20,0,27,4,3,11,0,18,2,0,4,0,6,135
Downers Grove 047,1299,4,6,14,0,24,9,6,23,0,38,4,5,9,0,18,2,1,4,0,7,87
Downers Grove 048,1008,6,5,13,0,24,2,2,10,0,14,2,2,2,0,6,1,0,2,0,3,47
Downers Grove 049,967,6,10,7,0,23,1,0,6,0,7,2,2,8,0,12,2,2,2,0,6,48
Downers Grove 050,946,0,5,18,0,23,7,2,15,0,24,5,7,9,0,21,0,1,9,0,10,78
Downers Grove 051,1202,4,1,13,0,18,3,1,3,0,7,4,5,9,0,18,0,0,1,0,1,44
Downers Grove 052,975,6,6,7,0,19,1,3,4,0,8,2,15,10,0,27,0,1,3,0,4,58
Downers Grove 053,1246,12,9,27,0,48,2,7,6,0,15,12,5,13,0,30,4,1,4,0,9,102
Downers Grove 054,1087,6,6,21,0,33,2,1,16,0,19,5,8,17,0,30,1,0,4,0,5,87
Downers Grove 055,964,9,6,27,0,42,13,1,5,0,19,9,4,11,0,24,2,0,4,0,6,91
Downers Grove 056,1054,8,5,15,0,28,16,5,6,0,27,4,6,11,0,21,0,1,5,0,6,82
Downers Grove 057,1310,4,3,3,0,10,4,4,6,0,14,3,2,5,0,10,3,4,0,0,7,41
Downers Grove 058,1109,9,11,16,0,36,10,3,10,0,23,5,10,17,0,32,2,0,4,0,6,97
Downers Grove 059,1319,5,9,31,0,45,5,7,13,0,25,9,14,34,0,57,1,4,10,0,15,142
Downers Grove 060,1063,0,6,22,0,28,5,4,5,0,14,2,7,8,0,17,1,1,10,0,12,71
Downers Grove 061,854,5,0,10,0,15,4,2,18,0,24,11,0,7,0,18,3,4,5,0,12,69
Downers Grove 062,1200,18,8,11,0,37,25,9,19,0,53,5,4,11,0,20,3,1,2,0,6,116
Downers Grove 063,1050,10,9,13,0,32,13,2,18,0,33,5,3,10,0,18,1,0,3,0,4,87
