JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7400011,COOK:Elk Grove Precinct 11,29,5,23,7,64
COOK:7400012,COOK:Elk Grove Precinct 12,61,13,34,3,111
COOK:7400013,COOK:Elk Grove Precinct 13,11,3,9,1,24
COOK:7400014,COOK:Elk Grove Precinct 14,42,13,23,6,84
COOK:7400015,COOK:Elk Grove Precinct 15,50,6,24,7,87
COOK:7400016,COOK:Elk Grove Precinct 16,36,4,16,6,62
COOK:7400017,COOK:Elk Grove Precinct 17,28,4,15,5,52
COOK:7400018,COOK:Elk Grove Precinct 18,49,8,17,3,77
COOK:7400019,COOK:Elk Grove Precinct 19,45,0,11,4,60
COOK:7400020,COOK:Elk Grove Precinct 20,58,9,40,15,122
COOK:7400021,COOK:Elk Grove Precinct 21,28,3,10,3,44
COOK:7400022,COOK:Elk Grove Precinct 22,17,3,10,11,41
COOK:7400023,COOK:Elk Grove Precinct 23,54,7,34,6,101
COOK:7400024,COOK:Elk Grove Precinct 24,46,5,24,2,77
COOK:7400025,COOK:Elk Grove Precinct 25,29,4,27,2,62
COOK:7400026,COOK:Elk Grove Precinct 26,30,5,10,7,52
COOK:7400027,COOK:Elk Grove Precinct 27,45,6,17,10,78
COOK:7400028,COOK:Elk Grove Precinct 28,25,5,14,4,48
COOK:7400029,COOK:Elk Grove Precinct 29,50,6,22,13,91
COOK:7400030,COOK:Elk Grove Precinct 30,42,5,14,9,70
COOK:7400031,COOK:Elk Grove Precinct 31,35,7,9,4,55
COOK:7400032,COOK:Elk Grove Precinct 32,9,2,8,1,20
COOK:7400033,COOK:Elk Grove Precinct 33,32,7,25,9,73
COOK:7400034,COOK:Elk Grove Precinct 34,68,3,10,9,90
COOK:7400035,COOK:Elk Grove Precinct 35,30,9,10,4,53
COOK:7400036,COOK:Elk Grove Precinct 36,7,1,4,0,12
COOK:7400037,COOK:Elk Grove Precinct 37,42,6,26,9,83
COOK:7400038,COOK:Elk Grove Precinct 38,6,0,6,1,13
COOK:7400039,COOK:Elk Grove Precinct 39,37,6,22,6,71
COOK:7400040,COOK:Elk Grove Precinct 40,18,5,12,5,40
COOK:7400041,COOK:Elk Grove Precinct 41,48,8,20,4,80
COOK:7400042,COOK:Elk Grove Precinct 42,13,5,8,1,27
COOK:7400043,COOK:Elk Grove Precinct 43,58,8,36,14,116
COOK:7400044,COOK:Elk Grove Precinct 44,39,0,9,8,56
COOK:7400045,COOK:Elk Grove Precinct 45,30,7,23,7,67
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,2,0,0,0,2
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,6,1,2,1,10
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,2,0,2,2,6
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,10,0,8,3,21
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,13,2,2,3,20
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,2,1,2,1,6
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,2,2,1,0,5
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,6,1,3,2,12
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,2,1,6,1,10
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,5,1,5,0,11
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,8,2,3,0,13
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,4,1,3,1,9
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,11,2,3,4,20
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,5,0,1,0,6
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,3,0,2,0,5
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,4,1,0,0,5
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,3,0,0,0,3
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,12,0,3,2,17
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,5,2,3,0,10
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,10,2,8,4,24
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,4,2,0,0,6
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,0,2,4,0,6
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,13,1,2,0,16
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,3,3,0,0,6
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,18,0,6,2,26
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,4,0,5,1,10
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,12,3,4,0,19
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,15,3,17,4,39
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,8,0,4,1,13
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,12,0,2,2,16
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,8,0,1,3,12
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,11,6,2,2,21
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,0,0,0,0,0
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,6,0,1,0,7
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,9,0,4,0,13
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,7,3,2,4,16
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,3,6,2,3,14
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,2,0,3,0,5
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,7,0,2,3,12
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,2,0,3,1,6
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,1,0,4,0,5
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,9,0,3,0,12
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,3,3,5,0,11
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,7,1,5,2,15
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,3,0,3,6,12
COOK:7600001,COOK:Hanover Precinct 1,18,9,22,16,65
COOK:7600002,COOK:Hanover Precinct 2,45,15,44,11,115
COOK:7600003,COOK:Hanover Precinct 3,1,3,6,8,18
COOK:7600004,COOK:Hanover Precinct 4,13,4,36,10,63
COOK:7600005,COOK:Hanover Precinct 5,21,5,15,5,46
COOK:7600006,COOK:Hanover Precinct 6,13,2,15,7,37
COOK:7600007,COOK:Hanover Precinct 7,17,6,18,9,50
