JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 12 PRECINCT 08,12,8,3,1,3,3,10
CITY OF CHICAGO:WARD 12 PRECINCT 09,12,9,5,1,3,0,9
CITY OF CHICAGO:WARD 12 PRECINCT 10,12,10,8,4,13,3,28
CITY OF CHICAGO:WARD 12 PRECINCT 11,12,11,1,3,2,0,6
CITY OF CHICAGO:WARD 12 PRECINCT 12,12,12,5,2,2,0,9
CITY OF CHICAGO:WARD 12 PRECINCT 13,12,13,12,1,6,0,19
CITY OF CHICAGO:WARD 12 PRECINCT 14,12,14,6,1,2,1,10
CITY OF CHICAGO:WARD 12 PRECINCT 15,12,15,6,1,6,2,15
CITY OF CHICAGO:WARD 12 PRECINCT 16,12,16,3,2,4,1,10
CITY OF CHICAGO:WARD 12 PRECINCT 17,12,17,2,2,1,0,5
CITY OF CHICAGO:WARD 12 PRECINCT 18,12,18,5,0,0,0,5
CITY OF CHICAGO:WARD 12 PRECINCT 19,12,19,1,1,5,0,7
CITY OF CHICAGO:WARD 12 PRECINCT 20,12,20,5,1,2,1,9
CITY OF CHICAGO:WARD 12 PRECINCT 21,12,21,5,1,7,1,14
CITY OF CHICAGO:WARD 12 PRECINCT 22,12,22,4,4,2,2,12
CITY OF CHICAGO:WARD 13 PRECINCT 01,13,1,6,1,3,2,12
CITY OF CHICAGO:WARD 13 PRECINCT 02,13,2,14,2,4,9,29
CITY OF CHICAGO:WARD 13 PRECINCT 03,13,3,16,8,19,8,51
CITY OF CHICAGO:WARD 13 PRECINCT 04,13,4,11,1,1,1,14
CITY OF CHICAGO:WARD 13 PRECINCT 05,13,5,18,5,10,3,36
CITY OF CHICAGO:WARD 13 PRECINCT 06,13,6,12,2,3,1,18
CITY OF CHICAGO:WARD 13 PRECINCT 07,13,7,9,1,5,2,17
CITY OF CHICAGO:WARD 13 PRECINCT 08,13,8,10,5,7,2,24
CITY OF CHICAGO:WARD 13 PRECINCT 09,13,9,15,6,8,4,33
CITY OF CHICAGO:WARD 13 PRECINCT 10,13,10,20,5,16,2,43
