JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
DUPAGE:BLOOMINGDALE 034,36,14,34,39,123
DUPAGE:BLOOMINGDALE 035,43,12,57,44,156
DUPAGE:BLOOMINGDALE 036,47,12,31,43,133
DUPAGE:BLOOMINGDALE 037,69,23,20,27,139
DUPAGE:BLOOMINGDALE 038,49,15,31,25,120
DUPAGE:BLOOMINGDALE 039,55,14,33,46,148
DUPAGE:BLOOMINGDALE 040,51,19,32,40,142
DUPAGE:BLOOMINGDALE 041,82,17,25,28,152
DUPAGE:BLOOMINGDALE 042,66,10,20,27,123
DUPAGE:BLOOMINGDALE 043,46,8,17,23,94
DUPAGE:BLOOMINGDALE 044,62,13,34,70,179
DUPAGE:BLOOMINGDALE 045,50,15,32,42,139
DUPAGE:BLOOMINGDALE 046,38,10,19,27,94
DUPAGE:BLOOMINGDALE 047,69,13,31,35,148
DUPAGE:BLOOMINGDALE 048,62,7,22,18,109
DUPAGE:BLOOMINGDALE 049,30,2,11,15,58
DUPAGE:BLOOMINGDALE 050,56,7,19,33,115
DUPAGE:BLOOMINGDALE 051,69,28,40,52,189
DUPAGE:BLOOMINGDALE 052,60,33,50,48,191
DUPAGE:BLOOMINGDALE 053,37,14,21,34,106
DUPAGE:BLOOMINGDALE 054,111,25,50,43,229
DUPAGE:BLOOMINGDALE 055,34,10,24,14,82
DUPAGE:BLOOMINGDALE 056,78,14,30,40,162
DUPAGE:BLOOMINGDALE 057,55,8,11,24,98
DUPAGE:BLOOMINGDALE 058,71,12,33,36,152
DUPAGE:BLOOMINGDALE 059,93,11,32,37,173
DUPAGE:BLOOMINGDALE 060,66,13,26,36,141
DUPAGE:BLOOMINGDALE 061,79,24,34,61,198
DUPAGE:BLOOMINGDALE 062,68,16,38,36,158
DUPAGE:BLOOMINGDALE 063,54,20,31,45,150
DUPAGE:BLOOMINGDALE 064,79,13,41,51,184
DUPAGE:BLOOMINGDALE 065,55,8,33,29,125
DUPAGE:BLOOMINGDALE 066,48,9,25,29,111
DUPAGE:BLOOMINGDALE 067,23,21,27,46,117
DUPAGE:BLOOMINGDALE 068,60,6,30,49,145
DUPAGE:BLOOMINGDALE 069,59,16,28,32,135
DUPAGE:BLOOMINGDALE 070,46,7,22,22,97
DUPAGE:BLOOMINGDALE 071,65,19,28,42,154
DUPAGE:BLOOMINGDALE 072,52,9,24,22,107
DUPAGE:DOWNERS GROVE 001,28,10,48,36,122
DUPAGE:DOWNERS GROVE 002,48,24,65,62,199
DUPAGE:DOWNERS GROVE 003,36,20,83,46,185
DUPAGE:DOWNERS GROVE 004,55,6,60,59,180
DUPAGE:DOWNERS GROVE 005,47,17,58,74,196
DUPAGE:DOWNERS GROVE 006,29,12,44,61,146
DUPAGE:DOWNERS GROVE 007,29,16,135,45,225
DUPAGE:DOWNERS GROVE 008,57,19,116,79,271
DUPAGE:DOWNERS GROVE 009,40,19,95,61,215
DUPAGE:DOWNERS GROVE 010,36,20,57,86,199
DUPAGE:DOWNERS GROVE 011,22,12,44,30,108
DUPAGE:DOWNERS GROVE 012,39,15,110,65,229
DUPAGE:DOWNERS GROVE 013,33,16,155,58,262
DUPAGE:DOWNERS GROVE 014,46,13,86,72,217
DUPAGE:DOWNERS GROVE 015,87,17,64,65,233
DUPAGE:DOWNERS GROVE 016,59,17,33,62,171
DUPAGE:DOWNERS GROVE 017,53,17,49,61,180
DUPAGE:DOWNERS GROVE 018,28,10,76,26,140
DUPAGE:DOWNERS GROVE 019,24,10,49,62,145
DUPAGE:DOWNERS GROVE 020,31,9,51,47,138
DUPAGE:DOWNERS GROVE 021,19,16,56,60,151
DUPAGE:DOWNERS GROVE 022,18,14,49,49,130
DUPAGE:DOWNERS GROVE 023,17,8,41,45,111
DUPAGE:DOWNERS GROVE 024,35,20,77,65,197
DUPAGE:DOWNERS GROVE 025,49,24,88,69,230
DUPAGE:DOWNERS GROVE 026,32,20,103,73,228
DUPAGE:DOWNERS GROVE 027,34,8,111,48,201
DUPAGE:DOWNERS GROVE 028,46,18,42,87,193
DUPAGE:DOWNERS GROVE 029,44,13,47,45,149
DUPAGE:DOWNERS GROVE 030,36,16,47,41,140
DUPAGE:DOWNERS GROVE 031,33,10,91,52,186
DUPAGE:DOWNERS GROVE 032,26,7,50,47,130
DUPAGE:DOWNERS GROVE 033,17,8,45,36,106
DUPAGE:DOWNERS GROVE 034,14,2,31,36,83
DUPAGE:DOWNERS GROVE 035,11,3,21,19,54
DUPAGE:DOWNERS GROVE 036,32,17,99,58,206
DUPAGE:DOWNERS GROVE 037,60,15,81,75,231
DUPAGE:DOWNERS GROVE 038,60,15,48,48,171
DUPAGE:DOWNERS GROVE 039,55,23,49,73,200
DUPAGE:DOWNERS GROVE 040,54,14,58,38,164
DUPAGE:DOWNERS GROVE 041,37,14,34,44,129
DUPAGE:DOWNERS GROVE 042,28,4,26,58,116
DUPAGE:DOWNERS GROVE 043,35,5,41,47,128
DUPAGE:DOWNERS GROVE 044,27,12,49,58,146
DUPAGE:DOWNERS GROVE 045,65,32,64,89,250
DUPAGE:DOWNERS GROVE 046,42,25,80,106,253
DUPAGE:DOWNERS GROVE 047,56,19,48,62,185
DUPAGE:DOWNERS GROVE 048,51,11,43,34,139
DUPAGE:DOWNERS GROVE 049,19,10,63,33,125
DUPAGE:DOWNERS GROVE 050,38,18,52,44,152
DUPAGE:DOWNERS GROVE 051,43,13,45,45,146
DUPAGE:DOWNERS GROVE 052,42,7,24,48,121
DUPAGE:DOWNERS GROVE 053,59,18,63,69,209
DUPAGE:DOWNERS GROVE 054,40,16,54,57,167
DUPAGE:DOWNERS GROVE 055,33,17,57,65,172
DUPAGE:DOWNERS GROVE 056,50,21,53,57,181
DUPAGE:DOWNERS GROVE 057,59,16,32,50,157
DUPAGE:DOWNERS GROVE 058,44,16,37,46,143
DUPAGE:DOWNERS GROVE 059,53,15,62,125,255
DUPAGE:DOWNERS GROVE 060,38,7,44,42,131
DUPAGE:DOWNERS GROVE 061,38,11,68,38,155
DUPAGE:DOWNERS GROVE 062,44,16,123,60,243
DUPAGE:DOWNERS GROVE 063,44,18,78,72,212
DUPAGE:DOWNERS GROVE 064,43,21,43,52,159
DUPAGE:DOWNERS GROVE 065,31,20,76,97,224
DUPAGE:DOWNERS GROVE 066,38,10,41,70,159
DUPAGE:DOWNERS GROVE 067,36,11,37,50,134
DUPAGE:DOWNERS GROVE 068,64,15,37,64,180
DUPAGE:DOWNERS GROVE 069,63,19,46,55,183
DUPAGE:DOWNERS GROVE 070,35,9,39,47,130
DUPAGE:DOWNERS GROVE 071,50,12,47,38,147
DUPAGE:DOWNERS GROVE 072,45,16,40,51,152
DUPAGE:DOWNERS GROVE 073,42,10,40,34,126
DUPAGE:DOWNERS GROVE 074,50,14,51,54,169
DUPAGE:DOWNERS GROVE 075,36,6,19,32,93
DUPAGE:DOWNERS GROVE 076,39,13,33,46,131
DUPAGE:DOWNERS GROVE 077,53,21,48,60,182
DUPAGE:DOWNERS GROVE 078,57,18,42,75,192
DUPAGE:DOWNERS GROVE 079,38,11,38,65,152
DUPAGE:DOWNERS GROVE 080,38,21,46,56,161
DUPAGE:DOWNERS GROVE 081,26,9,26,35,96
DUPAGE:DOWNERS GROVE 082,34,21,47,56,158
DUPAGE:DOWNERS GROVE 083,47,12,38,63,160
DUPAGE:DOWNERS GROVE 084,35,14,23,51,123
DUPAGE:DOWNERS GROVE 085,59,24,54,75,212
DUPAGE:DOWNERS GROVE 086,34,22,29,67,152
DUPAGE:DOWNERS GROVE 087,42,20,53,83,198
DUPAGE:DOWNERS GROVE 088,37,11,31,36,115
DUPAGE:DOWNERS GROVE 089,40,13,62,61,176
DUPAGE:DOWNERS GROVE 090,47,16,58,71,192
DUPAGE:DOWNERS GROVE 091,55,14,26,37,132
DUPAGE:DOWNERS GROVE 092,50,17,32,45,144
DUPAGE:DOWNERS GROVE 093,66,11,41,35,153
DUPAGE:DOWNERS GROVE 094,37,26,58,72,193
DUPAGE:DOWNERS GROVE 095,49,12,25,42,128
DUPAGE:DOWNERS GROVE 096,51,6,19,38,114
DUPAGE:DOWNERS GROVE 097,27,11,37,65,140
DUPAGE:DOWNERS GROVE 098,35,6,30,41,112
DUPAGE:DOWNERS GROVE 099,53,15,24,28,120
DUPAGE:DOWNERS GROVE 100,56,17,33,23,129
DUPAGE:DOWNERS GROVE 101,49,14,34,48,145
DUPAGE:DOWNERS GROVE 102,26,8,25,48,107
DUPAGE:DOWNERS GROVE 103,38,7,21,31,97
DUPAGE:LISLE 001,55,19,54,63,191
DUPAGE:LISLE 002,63,12,38,36,149
DUPAGE:LISLE 003,55,25,56,36,172
DUPAGE:LISLE 004,49,41,73,74,237
DUPAGE:LISLE 005,53,19,93,40,205
DUPAGE:LISLE 006,69,23,59,64,215
DUPAGE:LISLE 007,44,15,57,37,153
DUPAGE:LISLE 008,53,23,63,65,204
DUPAGE:LISLE 009,61,19,57,83,220
DUPAGE:LISLE 010,67,16,73,91,247
DUPAGE:LISLE 011,41,16,57,71,185
DUPAGE:LISLE 012,32,94,76,69,271
DUPAGE:LISLE 013,57,19,53,33,162
DUPAGE:LISLE 014,34,10,36,48,128
DUPAGE:LISLE 015,39,15,48,30,132
DUPAGE:LISLE 016,48,27,50,95,220
DUPAGE:LISLE 017,57,17,78,47,199
DUPAGE:LISLE 018,52,17,84,66,219
DUPAGE:LISLE 019,46,14,68,80,208
DUPAGE:LISLE 020,53,24,112,69,258
DUPAGE:LISLE 021,44,30,81,68,223
DUPAGE:LISLE 022,47,26,50,63,186
DUPAGE:LISLE 023,73,20,49,38,180
DUPAGE:LISLE 024,33,10,34,35,112
DUPAGE:LISLE 025,60,18,43,55,176
DUPAGE:LISLE 026,36,21,126,58,241
DUPAGE:LISLE 027,38,33,85,115,271
DUPAGE:LISLE 028,45,21,79,55,200
DUPAGE:LISLE 029,25,4,34,21,84
DUPAGE:LISLE 030,66,24,81,76,247
DUPAGE:LISLE 031,53,37,60,77,227
DUPAGE:LISLE 032,50,25,89,51,215
DUPAGE:LISLE 033,41,15,88,45,189
DUPAGE:LISLE 034,64,24,84,45,217
DUPAGE:LISLE 035,30,19,150,38,237
DUPAGE:LISLE 036,31,17,79,48,175
DUPAGE:LISLE 037,59,23,116,63,261
DUPAGE:LISLE 038,31,20,54,38,143
DUPAGE:LISLE 039,48,13,66,54,181
DUPAGE:LISLE 040,68,21,67,81,237
DUPAGE:LISLE 041,58,19,62,87,226
DUPAGE:LISLE 042,48,11,60,70,189
