JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
LAKE:WAUKEGAN 372,33,5,32,15,85
LAKE:WAUKEGAN 373,22,2,54,16,94
LAKE:WAUKEGAN 374,41,10,76,15,142
LAKE:WAUKEGAN 375,58,5,66,11,140
LAKE:WAUKEGAN 376,48,11,76,20,155
LAKE:WAUKEGAN 377,35,4,40,12,91
LAKE:WAUKEGAN 378,44,8,41,13,106
LAKE:WAUKEGAN 379,45,7,57,21,130
LAKE:WAUKEGAN 380,28,5,22,4,59
LAKE:WAUKEGAN 381,23,8,77,14,122
LAKE:WAUKEGAN 382,45,2,37,11,95
LAKE:WAUKEGAN 383,31,4,36,11,82
LAKE:WAUKEGAN 384,21,5,34,12,72
LAKE:WAUKEGAN 385,26,2,24,15,67
LAKE:WAUKEGAN 386,25,5,71,29,130
LAKE:WAUKEGAN 387,33,7,44,13,97
LAKE:WAUKEGAN 388,21,2,22,6,51
LAKE:WAUKEGAN 389,27,5,44,14,90
LAKE:WAUKEGAN 390,18,3,43,6,70
LAKE:WAUKEGAN 391,15,9,28,11,63
LAKE:WAUKEGAN 392,24,5,30,7,66
LAKE:WAUKEGAN 393,39,9,73,23,144
LAKE:WEST DEERFIELD 394,22,9,50,26,107
LAKE:WEST DEERFIELD 395,4,5,44,33,86
LAKE:WEST DEERFIELD 396,9,6,29,30,74
LAKE:WEST DEERFIELD 397,6,5,39,21,71
LAKE:WEST DEERFIELD 398,12,5,49,32,98
LAKE:WEST DEERFIELD 399,11,1,44,33,89
LAKE:WEST DEERFIELD 400,4,4,46,28,82
LAKE:WEST DEERFIELD 401,24,14,69,45,152
LAKE:WEST DEERFIELD 402,12,7,51,33,103
LAKE:WEST DEERFIELD 403,12,4,40,27,83
LAKE:WEST DEERFIELD 404,16,5,89,71,181
LAKE:WEST DEERFIELD 405,41,20,156,99,316
LAKE:WEST DEERFIELD 406,21,4,113,50,188
LAKE:WEST DEERFIELD 407,29,13,187,110,339
LAKE:WEST DEERFIELD 408,16,4,63,30,113
LAKE:WEST DEERFIELD 409,43,13,155,92,303
LAKE:WEST DEERFIELD 410,48,14,167,83,312
LAKE:WEST DEERFIELD 411,41,24,143,80,288
LAKE:WEST DEERFIELD 412,56,9,180,103,348
LAKE:WEST DEERFIELD 413,23,8,87,69,187
LAKE:WEST DEERFIELD 414,32,10,154,91,287
LAKE:WEST DEERFIELD 415,33,13,156,126,328
LAKE:WEST DEERFIELD 416,42,20,169,110,341
LAKE:WEST DEERFIELD 417,25,12,111,79,227
LAKE:WEST DEERFIELD 418,24,11,131,96,262
LAKE:ZION 419,46,15,66,25,152
LAKE:ZION 420,21,8,46,19,94
LAKE:ZION 421,16,11,31,23,81
LAKE:ZION 422,26,10,62,29,127
LAKE:ZION 423,17,8,29,20,74
LAKE:ZION 424,10,2,33,14,59
LAKE:ZION 425,21,4,54,21,100
LAKE:ZION 426,26,8,33,11,78
LAKE:ZION 427,14,1,26,11,52
LAKE:ZION 428,27,4,42,17,90
LAKE:ZION 429,18,8,36,17,79
LAKE:ZION 430,31,5,30,21,87
LAKE:ZION 431,21,7,52,20,100
LAKE:TOTAL:,11762,3481,31814,14146,61203
