GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Ted Dabrowski / Carrie Mendoza,,,,,(James Mendrick / Robert Renteria,,,,,(Darren Bailey / Aaron B. Del Mar,,,,,(Rick Heidner / Christina Neitzke-,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Grafton 26,1054,25,17,5,1,48,4,4,2,0,10,21,11,18,1,51,5,7,5,1,18,0,1,1,0,2,129
Grafton 27,1053,9,5,8,0,22,5,3,2,0,10,22,16,7,0,45,6,4,2,0,12,0,0,0,0,0,89
Grafton 28,877,14,7,0,0,21,0,2,1,0,3,16,3,3,0,22,5,4,0,1,10,0,0,0,0,0,56
Grafton 29,1149,22,1,4,0,27,9,0,0,0,9,14,4,4,0,22,3,2,1,0,6,0,0,0,0,0,64
Grafton 30,1413,14,6,7,0,27,2,4,0,0,6,16,5,9,0,30,8,1,4,1,14,0,0,0,0,0,77
Grafton 31,986,9,7,4,0,20,4,3,0,1,8,21,3,4,0,28,2,2,0,1,5,0,0,0,0,0,61
Grafton 32,1022,12,2,2,1,17,1,0,2,0,3,14,5,0,0,19,6,1,1,0,8,0,0,0,0,0,47
Grafton 33,799,5,2,3,0,10,3,1,1,0,5,8,4,1,0,13,2,0,0,0,2,0,0,0,0,0,30
Grafton 34,723,14,6,1,0,21,1,1,3,0,5,13,1,1,0,15,5,1,0,0,6,0,0,0,0,0,47
Grafton 35,1181,11,5,2,0,18,8,0,1,2,11,8,2,0,0,10,5,0,2,0,7,0,0,0,0,0,46
Grafton 36,972,6,1,1,0,8,0,1,0,0,1,4,3,3,0,10,3,0,0,0,3,0,0,0,0,0,22
Grafton 37,1165,18,5,1,0,24,3,0,0,0,3,6,6,0,1,13,5,2,0,0,7,0,0,0,0,0,47
Grafton 38,1029,15,8,4,1,28,3,2,3,0,8,4,7,6,0,17,3,1,2,0,6,0,0,0,0,0,59
Greenwood 1,838,30,1,2,0,33,10,0,0,0,10,30,6,1,0,37,8,1,2,1,12,0,0,0,0,0,92
Greenwood 2,913,6,8,4,3,21,1,5,0,0,6,11,8,5,0,24,7,4,1,2,14,0,0,0,0,0,65
Greenwood 3,998,6,0,1,0,7,2,0,1,0,3,13,4,1,0,18,5,1,0,0,6,1,0,0,0,1,35
Greenwood 4,1030,7,2,5,0,14,2,2,2,0,6,15,8,1,2,26,4,1,0,0,5,0,0,0,0,0,51
Greenwood 5,966,10,2,2,1,15,3,0,1,0,4,12,7,1,0,20,2,1,0,0,3,0,0,0,0,0,42
Greenwood 6,1064,18,8,2,1,29,7,5,1,1,14,16,6,16,2,40,4,3,1,0,8,0,0,0,0,0,91
