UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Grafton 3,1078,6,1,0,4,11,27,8,3,0,38,6,1,0,0,7,5,3,0,0,8,4,0,2,0,6,12,7,1,0,20,90
Grafton 4,1469,4,0,6,1,11,14,3,6,0,23,5,3,2,0,10,2,0,4,0,6,2,3,1,0,6,18,13,7,0,38,94
Grafton 5,904,3,2,0,0,5,7,5,4,1,17,4,0,1,1,6,3,1,1,0,5,5,0,0,1,6,12,1,3,0,16,55
Grafton 6,1105,4,1,0,0,5,14,2,4,0,20,4,0,1,0,5,7,2,1,1,11,2,0,0,0,2,16,3,2,1,22,65
Grafton 7,1045,2,1,0,0,3,34,5,3,2,44,6,1,0,0,7,1,0,2,0,3,1,4,0,0,5,6,3,2,1,12,74
Grafton 8,935,3,1,0,0,4,17,3,2,0,22,3,3,2,0,8,1,0,3,0,4,4,1,1,0,6,8,5,2,0,15,59
Grafton 9,1120,7,2,1,0,10,8,11,6,0,25,8,3,6,0,17,3,4,1,0,8,1,1,0,0,2,17,6,4,0,27,89
Grafton 10,1077,4,1,3,0,8,7,4,3,0,14,3,0,1,0,4,1,3,1,0,5,1,0,0,0,1,11,5,1,0,17,49
Grafton 11,779,3,0,1,0,4,7,3,0,0,10,2,1,3,0,6,1,0,0,0,1,3,0,0,0,3,7,2,1,1,11,35
Grafton 12,1043,2,2,0,0,4,12,1,4,0,17,0,1,1,0,2,0,3,1,0,4,0,0,0,0,0,8,7,2,0,17,44
Grafton 13,1096,4,1,0,0,5,9,5,3,0,17,5,3,0,0,8,0,2,0,0,2,1,1,0,0,2,13,11,2,0,26,60
Grafton 14,1499,7,0,0,0,7,8,4,3,0,15,9,1,2,0,12,2,1,1,0,4,2,1,0,0,3,21,13,4,1,39,80
Grafton 15,902,5,4,6,0,15,14,11,4,1,30,3,1,3,0,7,3,2,3,0,8,0,2,0,0,2,10,13,4,0,27,89
Grafton 16,1131,2,0,1,0,3,4,3,0,2,9,1,0,0,0,1,2,1,1,0,4,2,0,0,0,2,5,4,1,0,10,29
Grafton 17,1108,5,0,3,2,10,3,3,7,0,13,6,1,0,0,7,2,2,1,0,5,1,0,0,0,1,11,5,0,0,16,52
Grafton 18,910,1,2,2,0,5,11,7,9,0,27,1,7,1,0,9,1,0,3,0,4,0,0,1,0,1,4,2,3,0,9,55
Grafton 19,1065,3,2,0,0,5,10,5,0,0,15,4,2,0,0,6,3,2,0,0,5,1,0,0,0,1,11,1,0,0,12,44
Grafton 20,1080,2,0,0,0,2,18,4,1,0,23,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,7,5,2,0,14,43
Grafton 21,1024,2,0,2,0,4,11,5,5,1,22,4,2,0,0,6,6,0,0,0,6,3,0,0,0,3,9,2,3,0,14,55
Grafton 22,1000,4,0,0,0,4,16,2,0,0,18,1,1,0,0,2,7,0,0,0,7,1,0,0,0,1,10,2,0,0,12,44
Grafton 23,1131,2,0,2,0,4,9,7,4,0,20,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,11,1,0,0,12,44
Grafton 24,1089,7,0,1,0,8,9,1,0,0,10,2,1,1,0,4,2,0,1,0,3,5,0,0,0,5,8,5,1,0,14,44
Grafton 25,1038,4,2,1,0,7,1,4,1,1,7,4,0,3,1,8,0,1,0,0,1,0,3,0,0,3,1,2,0,0,3,29
Grafton 26,1054,1,3,8,0,12,23,19,11,0,53,11,5,6,1,23,5,1,4,1,11,2,2,0,0,4,16,12,6,1,35,138
Grafton 27,1053,1,1,0,0,2,17,12,5,0,34,4,9,5,0,18,5,0,5,0,10,1,2,1,0,4,12,4,3,0,19,87
Grafton 28,877,3,4,0,0,7,9,6,2,0,17,4,3,1,1,9,4,1,0,0,5,2,0,2,0,4,12,2,0,0,14,56
Grafton 29,1149,6,1,1,0,8,6,2,5,0,13,6,1,0,0,7,6,1,1,0,8,4,1,1,0,6,20,1,1,0,22,64
Grafton 30,1413,4,1,0,0,5,16,8,10,0,34,5,1,4,1,11,2,0,2,0,4,1,0,0,0,1,12,6,5,0,23,78
Grafton 31,986,8,2,0,0,10,10,1,3,2,16,4,2,0,0,6,5,1,0,0,6,1,1,1,0,3,8,8,4,0,20,61
Grafton 32,1022,3,0,0,0,3,11,6,4,0,21,8,1,0,0,9,2,1,2,0,5,4,0,0,0,4,5,1,0,0,6,48
Grafton 33,799,3,1,0,0,4,5,2,4,0,11,2,1,0,0,3,1,0,0,0,1,3,0,0,0,3,5,3,0,0,8,30
Grafton 34,723,1,2,1,0,4,11,3,1,0,15,3,0,2,0,5,2,3,1,0,6,0,0,0,0,0,15,1,1,0,17,47
Grafton 35,1181,3,0,1,0,4,11,2,2,2,17,4,1,0,0,5,0,2,0,0,2,1,0,1,0,2,8,3,2,0,13,43
Grafton 36,972,2,0,0,0,2,2,0,3,0,5,0,3,0,0,3,2,1,1,0,4,1,0,0,0,1,4,1,0,0,5,20
Grafton 37,1165,5,1,0,0,6,9,8,0,1,18,3,1,0,0,4,2,2,0,0,4,1,0,1,0,2,12,1,1,0,14,48
Grafton 38,1029,5,2,0,0,7,6,5,9,1,21,3,7,2,0,12,2,0,2,0,4,1,0,1,0,2,9,3,1,0,13,59
Greenwood 1,838,8,1,0,0,9,32,3,1,1,37,3,1,0,0,4,4,1,1,0,6,4,1,0,0,5,28,3,3,0,34,95
Greenwood 2,913,2,2,1,0,5,5,7,2,3,17,3,2,2,0,7,2,5,4,0,11,2,1,0,0,3,9,11,1,2,23,66
Greenwood 3,998,4,0,0,0,4,2,2,2,0,6,2,1,0,0,3,5,0,0,0,5,3,1,0,0,4,6,2,1,0,9,31
Greenwood 4,1030,3,1,0,0,4,7,4,6,1,18,1,0,0,1,2,1,1,1,0,3,4,1,0,0,5,12,7,1,0,20,52
Greenwood 5,966,2,0,1,0,3,8,2,2,1,13,2,1,0,0,3,2,1,0,0,3,3,1,0,0,4,10,5,2,0,17,43
Greenwood 6,1064,5,0,1,0,6,19,11,10,4,44,1,2,2,0,5,1,5,3,0,9,0,0,3,0,3,20,5,1,0,26,93
Greenwood 7,744,6,0,1,0,7,14,2,1,0,17,9,1,1,0,11,5,0,1,0,6,7,0,0,0,7,13,6,3,0,22,70
Greenwood 8,959,6,1,1,0,8,16,3,2,0,21,4,0,3,0,7,6,1,0,0,7,3,0,0,0,3,5,2,0,0,7,53
Greenwood 9,1261,7,3,0,0,10,20,1,1,1,23,7,0,1,1,9,5,0,0,2,7,7,2,0,0,9,12,2,1,0,15,73
Greenwood 10,723,4,0,0,0,4,17,7,6,2,32,5,0,1,0,6,5,3,2,0,10,0,0,2,0,2,8,1,5,1,15,69
Hartland 1,724,5,0,0,0,5,20,3,8,3,34,4,1,2,0,7,2,1,1,0,4,1,2,1,0,4,26,4,2,0,32,86
Hartland 2,718,10,2,1,0,13,22,2,2,0,26,5,1,1,0,7,2,0,2,0,4,3,1,1,2,7,26,3,0,0,29,86
Hebron 1,835,18,2,0,0,20,43,4,3,1,51,12,3,0,0,15,18,0,2,0,20,7,1,0,0,8,30,1,4,0,35,149
Hebron 2,830,8,2,4,0,14,51,2,3,0,56,21,2,2,1,26,20,0,0,0,20,10,0,1,0,11,20,4,0,1,25,152
Marengo 1,840,6,3,2,0,11,22,7,9,0,38,5,1,2,0,8,7,5,2,0,14,5,1,1,0,7,13,6,4,0,23,101
Marengo 2,926,8,2,0,0,10,15,1,3,0,19,7,3,0,0,10,4,2,1,0,7,1,1,0,0,2,12,1,0,0,13,61
Marengo 3,1120,6,2,1,0,9,21,11,1,0,33,4,5,3,0,12,8,1,2,0,11,3,2,0,0,5,14,7,2,0,23,93
Marengo 4,832,8,2,0,0,10,19,4,3,0,26,13,0,1,0,14,10,3,1,0,14,2,1,1,0,4,25,4,2,2,33,101
Marengo 5,901,5,2,2,0,9,25,6,5,2,38,7,1,0,0,8,9,1,4,0,14,4,1,0,0,5,35,4,2,1,42,116
McHenry 1,1001,10,1,0,0,11,23,5,5,0,33,8,0,0,0,8,8,2,0,0,10,5,0,0,0,5,20,1,4,0,25,92
