JoinField,JoinField_alt,Ward/Township,Precinct,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:7200051,COOK:Bremen Precinct 51,Bremen,51,54,1,11,0,48,17,1,0,0,2,134
COOK:7200056,COOK:Bremen Precinct 56,Bremen,56,76,1,8,3,75,33,0,2,0,0,198
COOK:7200063,COOK:Bremen Precinct 63,Bremen,63,89,3,15,5,107,14,0,2,1,0,236
COOK:7200066,COOK:Bremen Precinct 66,Bremen,66,159,1,26,1,128,52,1,2,3,0,373
COOK:7300001,COOK:Calumet Precinct 1,Calumet,1,66,7,25,1,30,6,1,3,1,4,144
COOK:7300002,COOK:Calumet Precinct 2,Calumet,2,13,1,6,0,10,5,2,0,0,2,39
COOK:7300004,COOK:Calumet Precinct 4,Calumet,4,50,0,4,5,57,7,0,3,3,0,129
COOK:7300007,COOK:Calumet Precinct 7,Calumet,7,82,1,21,4,58,7,7,2,2,2,186
COOK:7300008,COOK:Calumet Precinct 8,Calumet,8,36,2,14,1,36,1,1,1,2,1,95
COOK:9000001,COOK:Rich Precinct 1,Rich,1,387,0,34,19,261,310,2,4,6,1,1024
COOK:9000002,COOK:Rich Precinct 2,Rich,2,269,3,49,15,193,95,2,7,0,6,639
COOK:9000003,COOK:Rich Precinct 3,Rich,3,220,1,32,15,105,98,1,1,1,1,475
COOK:9000004,COOK:Rich Precinct 4,Rich,4,137,3,11,4,76,55,1,2,2,3,294
COOK:9000005,COOK:Rich Precinct 5,Rich,5,136,1,37,5,119,81,1,4,1,1,386
COOK:9000006,COOK:Rich Precinct 6,Rich,6,186,1,35,9,108,95,4,2,3,4,447
COOK:9000008,COOK:Rich Precinct 8,Rich,8,127,2,21,4,92,79,4,3,2,2,336
COOK:9000009,COOK:Rich Precinct 9,Rich,9,116,2,12,3,122,96,2,3,1,2,359
COOK:9000010,COOK:Rich Precinct 10,Rich,10,99,2,21,7,39,59,0,2,3,2,234
COOK:9000011,COOK:Rich Precinct 11,Rich,11,104,2,44,2,47,42,3,3,5,2,254
COOK:9000012,COOK:Rich Precinct 12,Rich,12,108,2,30,1,61,91,1,1,2,1,298
COOK:9000013,COOK:Rich Precinct 13,Rich,13,114,1,31,12,65,48,3,3,2,6,285
COOK:9000014,COOK:Rich Precinct 14,Rich,14,16,1,10,1,11,8,2,2,2,0,53
COOK:9000015,COOK:Rich Precinct 15,Rich,15,255,2,41,7,161,82,0,2,2,4,556
COOK:9000016,COOK:Rich Precinct 16,Rich,16,49,2,26,3,34,38,3,1,1,1,158
COOK:9000017,COOK:Rich Precinct 17,Rich,17,70,3,21,3,36,31,5,4,0,1,174
COOK:9000018,COOK:Rich Precinct 18,Rich,18,143,1,14,6,64,70,0,3,1,1,303
COOK:9000019,COOK:Rich Precinct 19,Rich,19,82,0,11,2,35,18,2,2,0,2,154
COOK:9000021,COOK:Rich Precinct 21,Rich,21,101,2,21,2,83,63,6,3,2,1,284
COOK:9000022,COOK:Rich Precinct 22,Rich,22,70,3,13,0,51,46,3,2,0,1,189
COOK:9000023,COOK:Rich Precinct 23,Rich,23,168,3,29,2,98,111,1,2,0,4,418
COOK:9000024,COOK:Rich Precinct 24,Rich,24,105,3,26,7,57,64,0,1,0,0,263
COOK:9000025,COOK:Rich Precinct 25,Rich,25,158,1,19,5,89,134,1,8,1,3,419
COOK:9000026,COOK:Rich Precinct 26,Rich,26,111,1,21,12,84,70,0,3,2,0,304
COOK:9000027,COOK:Rich Precinct 27,Rich,27,108,1,15,11,78,76,3,2,2,0,296
COOK:9000028,COOK:Rich Precinct 28,Rich,28,183,0,27,8,100,136,1,4,0,1,460
COOK:9000029,COOK:Rich Precinct 29,Rich,29,110,3,39,6,43,71,13,0,1,1,287
COOK:9000030,COOK:Rich Precinct 30,Rich,30,127,1,23,5,86,127,5,1,2,3,380
COOK:9000031,COOK:Rich Precinct 31,Rich,31,127,4,42,2,36,44,9,1,1,4,270
