JoinField,JoinField_alt,Ward/Township,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
CITY OF CHICAGO:WARD 50 PRECINCT 22,CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,7,15,0,0,22
CITY OF CHICAGO:WARD 50 PRECINCT 23,CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,10,7,7,2,26
CITY OF CHICAGO:WARD 50 PRECINCT 24,CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,8,1,0,0,9
CITY OF CHICAGO:WARD 50 PRECINCT 25,CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,3,4,1,0,8
CITY OF CHICAGO:WARD 50 PRECINCT 26,CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,4,3,8,0,15
CITY OF CHICAGO:WARD 50 PRECINCT 27,CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,4,12,1,0,17
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,Evanston,Ward 1 Precinct 1,1,1,0,0,2
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,Evanston,Ward 1 Precinct 2,3,2,0,3,8
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,Evanston,Ward 1 Precinct 3,2,2,0,1,5
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,Evanston,Ward 1 Precinct 4,9,3,3,2,17
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,Evanston,Ward 2 Precinct 1,3,6,7,2,18
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,Evanston,Ward 2 Precinct 2,1,2,1,2,6
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,Evanston,Ward 2 Precinct 3,1,2,0,0,3
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,Evanston,Ward 2 Precinct 4,5,4,1,2,12
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,Evanston,Ward 2 Precinct 5,4,1,2,1,8
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,Evanston,Ward 3 Precinct 1,5,2,1,2,10
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,Evanston,Ward 3 Precinct 2,8,3,0,2,13
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,Evanston,Ward 3 Precinct 3,3,2,0,0,5
