JoinField,JB Pritzker,Total Voters
DUPAGE:NAPERVILLE 004,155,155
DUPAGE:NAPERVILLE 005,152,152
DUPAGE:NAPERVILLE 006,197,197
DUPAGE:NAPERVILLE 007,183,183
DUPAGE:NAPERVILLE 008,136,136
DUPAGE:NAPERVILLE 009,199,199
DUPAGE:NAPERVILLE 010,225,225
DUPAGE:NAPERVILLE 011,209,209
DUPAGE:NAPERVILLE 012,180,180
DUPAGE:NAPERVILLE 013,248,248
DUPAGE:NAPERVILLE 014,209,209
DUPAGE:NAPERVILLE 015,218,218
DUPAGE:NAPERVILLE 016,206,206
DUPAGE:NAPERVILLE 017,228,228
DUPAGE:NAPERVILLE 018,185,185
DUPAGE:NAPERVILLE 019,141,141
DUPAGE:NAPERVILLE 020,164,164
DUPAGE:NAPERVILLE 021,257,257
DUPAGE:NAPERVILLE 022,197,197
DUPAGE:NAPERVILLE 023,192,192
DUPAGE:NAPERVILLE 024,183,183
DUPAGE:NAPERVILLE 025,190,190
DUPAGE:NAPERVILLE 026,135,135
DUPAGE:NAPERVILLE 027,174,174
DUPAGE:NAPERVILLE 028,183,183
DUPAGE:NAPERVILLE 029,200,200
DUPAGE:NAPERVILLE 030,248,248
DUPAGE:NAPERVILLE 031,261,261
DUPAGE:NAPERVILLE 032,183,183
DUPAGE:NAPERVILLE 033,161,161
DUPAGE:NAPERVILLE 034,267,267
DUPAGE:NAPERVILLE 035,277,277
DUPAGE:NAPERVILLE 036,163,163
DUPAGE:NAPERVILLE 037,247,247
DUPAGE:NAPERVILLE 038,246,246
DUPAGE:NAPERVILLE 039,210,210
DUPAGE:NAPERVILLE 040,113,113
DUPAGE:NAPERVILLE 041,179,179
DUPAGE:NAPERVILLE 042,181,181
DUPAGE:NAPERVILLE 043,208,208
DUPAGE:NAPERVILLE 044,213,213
DUPAGE:NAPERVILLE 045,202,202
DUPAGE:NAPERVILLE 046,273,273
DUPAGE:NAPERVILLE 047,237,237
DUPAGE:NAPERVILLE 048,172,172
DUPAGE:NAPERVILLE 049,226,226
DUPAGE:NAPERVILLE 050,199,199
DUPAGE:NAPERVILLE 051,286,286
DUPAGE:NAPERVILLE 052,241,241
DUPAGE:NAPERVILLE 053,180,180
DUPAGE:NAPERVILLE 054,162,162
DUPAGE:NAPERVILLE 055,235,235
DUPAGE:NAPERVILLE 056,214,214
DUPAGE:NAPERVILLE 057,209,209
DUPAGE:NAPERVILLE 058,177,177
DUPAGE:WAYNE 001,183,183
DUPAGE:WAYNE 002,188,188
DUPAGE:WAYNE 003,150,150
DUPAGE:WAYNE 004,155,155
DUPAGE:WAYNE 005,89,89
DUPAGE:WAYNE 006,142,142
DUPAGE:WAYNE 007,175,175
DUPAGE:WAYNE 008,148,148
DUPAGE:WAYNE 009,152,152
DUPAGE:WAYNE 010,179,179
DUPAGE:WAYNE 011,162,162
DUPAGE:WAYNE 012,185,185
DUPAGE:WAYNE 013,162,162
DUPAGE:WAYNE 014,174,174
DUPAGE:WAYNE 015,157,157
DUPAGE:WAYNE 016,127,127
DUPAGE:WAYNE 017,189,189
DUPAGE:WAYNE 018,74,74
DUPAGE:WAYNE 019,102,102
DUPAGE:WAYNE 020,140,140
DUPAGE:WAYNE 021,115,115
DUPAGE:WAYNE 022,116,116
DUPAGE:WAYNE 023,138,138
DUPAGE:WAYNE 024,120,120
DUPAGE:WAYNE 025,125,125
DUPAGE:WAYNE 026,142,142
DUPAGE:WAYNE 027,181,181
DUPAGE:WAYNE 028,159,159
DUPAGE:WAYNE 029,146,146
DUPAGE:WAYNE 030,201,201
DUPAGE:WAYNE 031,172,172
DUPAGE:WAYNE 032,140,140
DUPAGE:WAYNE 033,130,130
DUPAGE:WAYNE 034,135,135
DUPAGE:WAYNE 035,101,101
DUPAGE:WAYNE 036,227,227
DUPAGE:WAYNE 037,132,132
DUPAGE:WAYNE 038,151,151
DUPAGE:WAYNE 039,179,179
DUPAGE:WAYNE 040,119,119
DUPAGE:WAYNE 041,146,146
DUPAGE:WAYNE 042,130,130
DUPAGE:WAYNE 043,124,124
DUPAGE:WINFIELD 001,190,190
DUPAGE:WINFIELD 002,178,178
DUPAGE:WINFIELD 003,145,145
DUPAGE:WINFIELD 004,211,211
DUPAGE:WINFIELD 005,229,229
DUPAGE:WINFIELD 006,168,168
DUPAGE:WINFIELD 007,168,168
DUPAGE:WINFIELD 008,183,183
DUPAGE:WINFIELD 009,152,152
DUPAGE:WINFIELD 010,161,161
DUPAGE:WINFIELD 011,112,112
DUPAGE:WINFIELD 012,115,115
DUPAGE:WINFIELD 013,170,170
DUPAGE:WINFIELD 014,165,165
DUPAGE:WINFIELD 015,250,250
DUPAGE:WINFIELD 016,237,237
DUPAGE:WINFIELD 017,184,184
DUPAGE:WINFIELD 018,247,247
DUPAGE:WINFIELD 019,150,150
DUPAGE:WINFIELD 020,101,101
DUPAGE:WINFIELD 021,152,152
DUPAGE:WINFIELD 022,198,198
DUPAGE:WINFIELD 023,156,156
DUPAGE:WINFIELD 024,147,147
DUPAGE:WINFIELD 025,158,158
DUPAGE:WINFIELD 026,156,156
DUPAGE:WINFIELD 027,149,149
DUPAGE:YORK 001,183,183
DUPAGE:YORK 002,195,195
DUPAGE:YORK 003,173,173
DUPAGE:YORK 004,199,199
DUPAGE:YORK 005,72,72
DUPAGE:YORK 006,189,189
DUPAGE:YORK 007,193,193
DUPAGE:YORK 008,130,130
DUPAGE:YORK 009,194,194
DUPAGE:YORK 010,239,239
DUPAGE:YORK 011,208,208
DUPAGE:YORK 012,223,223
DUPAGE:YORK 013,303,303
DUPAGE:YORK 014,158,158
DUPAGE:YORK 015,198,198
DUPAGE:YORK 016,216,216
DUPAGE:YORK 017,238,238
DUPAGE:YORK 018,226,226
DUPAGE:YORK 019,219,219
DUPAGE:YORK 020,256,256
DUPAGE:YORK 021,180,180
DUPAGE:YORK 022,290,290
DUPAGE:YORK 023,318,318
DUPAGE:YORK 024,245,245
DUPAGE:YORK 025,285,285
DUPAGE:YORK 026,162,162
DUPAGE:YORK 027,136,136
DUPAGE:YORK 028,161,161
DUPAGE:YORK 029,137,137
DUPAGE:YORK 030,158,158
DUPAGE:YORK 031,221,221
DUPAGE:YORK 032,165,165
DUPAGE:YORK 033,253,253
DUPAGE:YORK 034,262,262
DUPAGE:YORK 035,211,211
DUPAGE:YORK 036,187,187
DUPAGE:YORK 037,279,279
DUPAGE:YORK 038,312,312
DUPAGE:YORK 039,207,207
DUPAGE:YORK 040,185,185
DUPAGE:YORK 041,209,209
DUPAGE:YORK 042,203,203
DUPAGE:YORK 043,231,231
DUPAGE:YORK 044,202,202
DUPAGE:YORK 045,245,245
DUPAGE:YORK 046,189,189
DUPAGE:YORK 047,286,286
DUPAGE:YORK 048,193,193
DUPAGE:YORK 049,215,215
DUPAGE:YORK 050,221,221
DUPAGE:YORK 051,124,124
DUPAGE:YORK 052,149,149
DUPAGE:YORK 053,214,214
DUPAGE:YORK 054,178,178
DUPAGE:YORK 055,186,186
DUPAGE:YORK 056,131,131
DUPAGE:YORK 057,212,212
DUPAGE:YORK 058,182,182
DUPAGE:YORK 059,176,176
DUPAGE:YORK 060,217,217
DUPAGE:YORK 061,228,228
DUPAGE:YORK 062,154,154
DUPAGE:YORK 063,180,180
DUPAGE:YORK 064,238,238
DUPAGE:YORK 065,227,227
DUPAGE:YORK 066,196,196
DUPAGE:YORK 067,252,252
DUPAGE:YORK 068,216,216
DUPAGE:YORK 069,135,135
DUPAGE:YORK 070,140,140
DUPAGE:YORK 071,155,155
DUPAGE:YORK 072,129,129
DUPAGE:YORK 073,256,256
DUPAGE:YORK 074,192,192
DUPAGE:YORK 075,226,226
DUPAGE:YORK 076,120,120
DUPAGE:YORK 077,170,170
DUPAGE:YORK 078,66,66
DUPAGE:YORK 079,170,170
DUPAGE:YORK 080,202,202
DUPAGE:YORK 081,224,224
DUPAGE:YORK 082,92,92
DUPAGE:YORK 083,125,125
DUPAGE:YORK 084,302,302
DUPAGE:YORK 085,92,92
DUPAGE:YORK 086,138,138
DUPAGE:TOTAL:,103849,103849
