JoinField,JoinField_alt,JB Pritzker & Christian Mitchell,Total Voters
COOK:7800005,COOK:Leyden Precinct 5,126,126
COOK:7800006,COOK:Leyden Precinct 6,168,168
COOK:7800007,COOK:Leyden Precinct 7,65,65
COOK:7800008,COOK:Leyden Precinct 8,155,155
COOK:7800009,COOK:Leyden Precinct 9,184,184
COOK:7800010,COOK:Leyden Precinct 10,156,156
COOK:7800011,COOK:Leyden Precinct 11,119,119
COOK:7800012,COOK:Leyden Precinct 12,50,50
COOK:7800013,COOK:Leyden Precinct 13,120,120
COOK:7800014,COOK:Leyden Precinct 14,100,100
COOK:7800015,COOK:Leyden Precinct 15,173,173
COOK:7800016,COOK:Leyden Precinct 16,142,142
COOK:7800017,COOK:Leyden Precinct 17,86,86
COOK:7800018,COOK:Leyden Precinct 18,81,81
COOK:7800019,COOK:Leyden Precinct 19,151,151
COOK:7800020,COOK:Leyden Precinct 20,56,56
COOK:7800021,COOK:Leyden Precinct 21,72,72
COOK:7800022,COOK:Leyden Precinct 22,118,118
COOK:7800023,COOK:Leyden Precinct 23,240,240
COOK:7800024,COOK:Leyden Precinct 24,120,120
COOK:7800025,COOK:Leyden Precinct 25,76,76
COOK:7800026,COOK:Leyden Precinct 26,244,244
COOK:7800027,COOK:Leyden Precinct 27,25,25
COOK:7800028,COOK:Leyden Precinct 28,66,66
COOK:7800029,COOK:Leyden Precinct 29,71,71
COOK:7800030,COOK:Leyden Precinct 30,126,126
COOK:7800031,COOK:Leyden Precinct 31,145,145
COOK:7800032,COOK:Leyden Precinct 32,139,139
COOK:7800033,COOK:Leyden Precinct 33,136,136
COOK:7800034,COOK:Leyden Precinct 34,96,96
COOK:7800035,COOK:Leyden Precinct 35,59,59
COOK:7800036,COOK:Leyden Precinct 36,132,132
COOK:7800037,COOK:Leyden Precinct 37,78,78
COOK:7800038,COOK:Leyden Precinct 38,45,45
COOK:7800039,COOK:Leyden Precinct 39,91,91
COOK:7800040,COOK:Leyden Precinct 40,126,126
COOK:7800041,COOK:Leyden Precinct 41,65,65
COOK:7800042,COOK:Leyden Precinct 42,119,119
COOK:7800043,COOK:Leyden Precinct 43,129,129
COOK:7800044,COOK:Leyden Precinct 44,84,84
COOK:7800045,COOK:Leyden Precinct 45,74,74
COOK:7800046,COOK:Leyden Precinct 46,129,129
COOK:7800047,COOK:Leyden Precinct 47,108,108
COOK:7800048,COOK:Leyden Precinct 48,119,119
COOK:7800049,COOK:Leyden Precinct 49,179,179
COOK:7800050,COOK:Leyden Precinct 50,216,216
COOK:7900001,COOK:Lyons Precinct 1,29,29
