FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
FRANKFORT PCT 018,1497,7,0,6,13,25,2,5,32,57,1,9,67,27,12,14,53,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
FRANKFORT PCT 019,1667,9,0,4,13,24,11,4,39,54,6,14,74,26,8,21,55,1,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,1,0,0,1,3,0,1,4,0,0,0,0,190
FRANKFORT PCT 020,1450,5,0,2,7,19,4,6,29,37,10,14,61,15,5,12,32,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
FRANKFORT PCT 021,1807,10,3,1,14,42,7,11,60,62,19,13,94,50,22,18,90,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,263
FRANKFORT PCT 022,1475,3,1,2,6,17,12,10,39,35,13,16,64,38,23,48,109,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
FRANKFORT PCT 023,1335,4,0,1,5,18,4,6,28,32,11,5,48,20,9,9,38,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122
FRANKFORT PCT 024,1369,4,2,3,9,46,23,12,81,47,17,17,81,45,15,21,81,1,1,0,2,1,0,1,2,0,0,0,0,1,0,0,1,1,1,0,2,0,3,0,3,0,0,0,0,262
FRANKFORT PCT 025,1248,1,1,0,2,16,9,2,27,46,7,7,60,30,26,20,76,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,169
FRANKFORT PCT 026,1561,9,4,1,14,39,17,11,67,65,25,18,108,27,13,22,62,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
FRANKFORT PCT 027,1475,5,1,1,7,21,3,6,30,37,12,8,57,26,12,11,49,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,150
