FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,DON TRACY,,,,R. CARY CAPPARELLI,,,,PAMELA DENISE LONG,,,,"JIMMY LEE TILLMAN, II",,,,JEANNIE EVANS,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
JOLIET PCT 028,881,1,0,0,1,2,1,0,3,0,0,0,0,0,1,0,1,1,0,0,1,4,0,0,4,10
JOLIET PCT 029,1204,5,0,0,5,1,1,1,3,2,1,1,4,0,0,0,0,3,0,0,3,8,3,2,13,28
JOLIET PCT 030,1203,6,0,0,6,16,0,0,16,9,3,3,15,2,0,0,2,2,0,1,3,10,0,0,10,52
JOLIET PCT 031,1204,6,1,0,7,11,4,2,17,6,1,0,7,3,1,0,4,1,1,0,2,8,1,1,10,47
JOLIET PCT 032,898,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5
JOLIET PCT 033,1088,8,2,0,10,13,1,1,15,4,1,0,5,0,1,1,2,4,0,0,4,15,4,1,20,56
JOLIET PCT 034,977,1,0,1,2,3,4,0,7,2,2,0,4,0,2,0,2,0,0,1,1,0,0,0,0,16
JOLIET PCT 035,1102,2,1,0,3,4,0,3,7,5,1,0,6,3,0,0,3,2,2,0,4,4,1,3,8,31
JOLIET PCT 036,949,2,0,0,2,3,0,0,3,2,0,0,2,0,0,0,0,1,0,0,1,1,2,3,6,14
JOLIET PCT 037,1243,3,1,0,4,11,5,2,18,5,0,2,7,9,0,0,9,1,0,0,1,10,2,0,12,51
LOCKPORT PCT 001,1800,14,5,10,29,58,12,20,90,25,1,4,30,13,2,13,28,4,2,5,11,50,5,11,66,254
LOCKPORT PCT 002,1828,13,4,2,19,13,6,2,21,6,3,1,10,1,0,2,3,3,0,0,3,19,0,1,20,76
LOCKPORT PCT 003,1692,8,1,0,9,13,2,0,15,10,2,1,13,3,2,1,6,2,1,1,4,7,2,1,10,57
LOCKPORT PCT 004,1434,8,0,1,9,11,3,0,14,7,1,2,10,6,0,0,6,3,0,0,3,9,0,2,11,53
LOCKPORT PCT 005,1418,15,0,0,15,35,9,3,47,8,1,2,11,24,3,0,27,12,1,0,13,29,8,1,38,151
LOCKPORT PCT 006,2015,6,0,2,8,12,4,5,21,3,2,1,6,3,2,2,7,2,2,0,4,7,2,3,12,58
LOCKPORT PCT 007,1939,9,1,0,10,18,2,1,21,6,0,2,8,3,1,0,4,0,1,0,1,10,3,0,13,57
LOCKPORT PCT 008,1626,4,0,0,4,6,1,3,10,3,1,0,4,4,0,0,4,3,0,0,3,3,0,0,3,28
LOCKPORT PCT 009,2131,17,0,4,21,40,5,7,52,15,1,4,20,10,1,2,13,6,1,0,7,29,2,2,33,146
LOCKPORT PCT 010,1496,14,4,4,22,22,10,2,34,10,1,2,13,5,2,1,8,6,1,0,7,31,4,4,39,123
LOCKPORT PCT 011,1439,7,3,2,12,28,12,2,42,16,9,1,26,8,0,1,9,7,0,0,7,18,6,1,25,121
LOCKPORT PCT 012,1553,11,3,1,15,29,11,3,43,12,3,4,19,10,0,1,11,1,1,0,2,20,8,3,31,121
LOCKPORT PCT 013,1926,24,5,4,33,72,6,11,89,23,4,3,30,18,4,4,26,6,1,1,8,59,8,19,86,272
LOCKPORT PCT 014,1371,13,0,6,19,38,3,2,43,15,0,1,16,6,0,1,7,5,0,0,5,23,5,1,29,119
LOCKPORT PCT 015,1356,5,1,0,6,14,2,3,19,4,0,1,5,5,2,0,7,2,0,0,2,12,1,0,13,52
LOCKPORT PCT 016,1521,6,1,1,8,39,7,2,48,18,0,0,18,9,3,1,13,2,0,0,2,17,6,2,25,114
LOCKPORT PCT 017,1431,16,3,0,19,35,14,5,54,16,0,0,16,8,1,1,10,3,2,1,6,28,8,4,40,145
LOCKPORT PCT 018,1635,11,2,2,15,15,8,5,28,8,5,2,15,14,2,1,17,3,1,2,6,18,3,0,21,102
LOCKPORT PCT 019,1526,11,6,4,21,24,8,5,37,23,1,1,25,6,2,2,10,2,2,0,4,15,7,5,27,124
LOCKPORT PCT 020,1180,8,0,2,10,25,1,8,34,17,0,1,18,7,1,0,8,4,1,1,6,24,2,0,26,102
LOCKPORT PCT 021,1351,2,0,1,3,9,0,2,11,7,0,1,8,2,0,0,2,2,0,1,3,18,3,2,23,50
