FOR GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,
,,DABROWSKI / MENDOZA,,,,MENDRICK / RENTERIA,,,,BAILEY / DEL MAR,,,,HEIDNER / NEITZKE-TROIKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
FRANKFORT PCT 001,1978,67,10,1,78,9,3,4,16,62,11,3,76,35,6,3,44,214
FRANKFORT PCT 002,1514,29,13,9,51,9,1,0,10,28,32,8,68,13,9,3,25,154
FRANKFORT PCT 003,1691,28,4,5,37,3,0,2,5,23,10,5,38,11,4,9,24,104
FRANKFORT PCT 004,1428,19,10,2,31,5,3,0,8,19,7,3,29,7,2,6,15,83
FRANKFORT PCT 005,2045,64,12,8,84,9,2,3,14,49,19,8,76,13,8,2,23,197
FRANKFORT PCT 006,1412,41,11,3,55,9,0,1,10,41,5,9,55,16,4,2,22,142
FRANKFORT PCT 007,1338,45,11,0,56,6,1,3,10,37,16,6,59,17,6,4,27,152
FRANKFORT PCT 008,1391,15,2,11,28,3,2,4,9,26,11,7,44,14,1,1,16,97
FRANKFORT PCT 009,1475,34,2,3,39,4,0,0,4,24,6,3,33,11,1,2,14,90
FRANKFORT PCT 010,1483,19,1,12,32,5,3,3,11,10,4,11,25,11,2,2,15,83
FRANKFORT PCT 011,1504,27,11,7,45,7,1,4,12,28,6,7,41,7,3,2,12,110
FRANKFORT PCT 012,1161,37,8,0,45,5,0,3,8,45,9,9,63,14,6,2,22,138
FRANKFORT PCT 013,1215,39,8,4,51,9,3,1,13,28,14,1,43,16,5,0,21,128
FRANKFORT PCT 014,1428,35,8,3,46,14,0,1,15,47,10,3,60,16,1,1,18,139
FRANKFORT PCT 015,1828,31,9,6,46,19,2,5,26,42,4,7,53,19,3,2,24,149
FRANKFORT PCT 016,1618,35,8,2,45,12,0,0,12,33,8,4,45,6,6,4,16,118
FRANKFORT PCT 017,1914,58,26,9,93,12,3,3,18,50,19,12,81,28,7,5,40,232
FRANKFORT PCT 018,1497,71,5,5,81,8,0,2,10,54,10,11,75,8,0,3,11,177
FRANKFORT PCT 019,1667,28,9,4,41,8,3,1,12,38,4,5,47,14,0,3,17,117
FRANKFORT PCT 020,1450,29,7,2,38,12,3,1,16,36,9,7,52,13,0,0,13,119
FRANKFORT PCT 021,1807,58,5,9,72,4,4,5,13,48,12,8,68,15,6,1,22,175
FRANKFORT PCT 022,1475,32,12,8,52,6,4,0,10,25,24,18,67,14,3,3,20,149
FRANKFORT PCT 023,1335,38,13,5,56,8,8,2,18,27,5,4,36,9,4,4,17,127
FRANKFORT PCT 024,1369,15,5,6,26,6,6,0,12,12,1,5,18,7,5,1,13,69
FRANKFORT PCT 025,1248,36,12,3,51,7,0,3,10,27,16,6,49,11,4,0,15,125
FRANKFORT PCT 026,1561,35,11,9,55,5,1,1,7,26,9,7,42,6,2,1,9,113
FRANKFORT PCT 027,1475,31,7,3,41,11,3,1,15,29,3,6,38,14,8,0,22,116
FRANKFORT PCT 028,2180,35,4,7,46,15,0,2,17,64,7,7,78,14,1,5,20,161
GREEN GARDEN PCT 001,1541,61,9,8,78,13,3,0,16,63,6,7,76,26,2,0,28,198
GREEN GARDEN PCT 002,1610,67,13,8,88,9,1,0,10,78,3,18,99,22,3,0,25,222
HOMER PCT 001,1559,43,1,1,45,6,1,1,8,66,3,7,76,7,1,1,9,138
HOMER PCT 002,1638,73,15,15,103,10,1,0,11,55,15,6,76,38,10,3,51,241
HOMER PCT 003,1309,43,10,2,55,5,4,2,11,26,10,1,37,24,6,5,35,138
HOMER PCT 004,1494,45,19,16,80,10,3,7,20,44,15,16,75,55,11,8,74,249
HOMER PCT 005,1149,45,4,2,51,8,2,1,11,24,6,5,35,39,16,6,61,158
HOMER PCT 006,1480,37,14,6,57,7,4,0,11,44,8,11,63,19,8,5,32,163
HOMER PCT 007,1457,44,10,7,61,15,3,4,22,41,12,10,63,37,14,5,56,202
HOMER PCT 008,1425,37,20,10,67,12,1,2,15,29,16,15,60,33,15,7,55,197
HOMER PCT 009,1201,50,4,7,61,1,0,0,1,37,7,15,59,21,4,3,28,149
HOMER PCT 010,1024,24,6,6,36,6,4,1,11,30,6,3,39,34,9,6,49,135
HOMER PCT 011,1483,44,11,9,64,7,2,3,12,61,16,6,83,22,18,4,44,203
HOMER PCT 012,1548,51,13,7,71,11,10,2,23,34,11,10,55,31,13,8,52,201
HOMER PCT 013,1745,39,5,6,50,8,3,4,15,37,6,12,55,13,0,1,14,134
HOMER PCT 014,1590,50,10,8,68,13,1,3,17,31,8,13,52,36,12,4,52,189
HOMER PCT 015,1921,31,6,5,42,6,1,1,8,47,17,9,73,21,5,5,31,154
HOMER PCT 016,2262,59,16,6,81,4,2,1,7,61,15,15,91,18,2,4,24,203
HOMER PCT 017,1577,55,9,11,75,4,0,1,5,41,14,9,64,66,8,15,89,233
HOMER PCT 018,2061,38,4,5,47,8,1,1,10,31,11,2,44,12,4,2,18,119
HOMER PCT 019,1712,53,6,5,64,18,0,1,19,44,7,14,65,32,12,10,54,202
JACKSON PCT 001,1653,33,3,3,39,18,1,1,20,66,18,10,94,2,2,0,4,157
JACKSON PCT 002,1359,34,4,7,45,8,2,0,10,52,16,5,73,3,5,0,8,136
JOLIET PCT 001,1381,11,0,2,13,6,0,0,6,16,3,2,21,2,0,0,2,42
JOLIET PCT 002,1221,29,6,1,36,2,0,1,3,20,4,2,26,7,0,0,7,72
JOLIET PCT 003,1213,16,1,3,20,2,0,0,2,30,6,3,39,4,1,2,7,68
JOLIET PCT 004,1252,6,3,2,11,8,0,0,8,14,2,0,16,1,0,0,1,36
JOLIET PCT 005,866,0,3,1,4,4,2,0,6,1,0,1,2,0,1,0,1,13
JOLIET PCT 006,943,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,4
JOLIET PCT 007,1132,3,6,2,11,3,1,0,4,8,2,0,10,0,2,0,2,27
JOLIET PCT 008,1090,19,2,1,22,3,1,0,4,15,0,0,15,4,3,0,7,48
JOLIET PCT 009,1835,10,3,7,20,5,2,1,8,15,6,4,25,1,0,2,3,56
JOLIET PCT 010,1390,9,7,3,19,7,2,1,10,27,4,2,33,7,1,0,8,70
JOLIET PCT 011,1341,17,3,3,23,5,1,0,6,16,4,1,21,4,1,1,6,56
JOLIET PCT 012,1215,8,1,0,9,3,0,1,4,6,0,10,16,1,0,1,2,31
JOLIET PCT 013,1120,3,0,1,4,0,1,0,1,1,0,0,1,0,0,0,0,6
JOLIET PCT 014,1158,1,1,0,2,2,0,0,2,1,0,0,1,0,0,0,0,5
JOLIET PCT 015,1243,13,0,0,13,1,1,0,2,13,7,2,22,3,0,1,4,41
JOLIET PCT 016,1209,3,2,2,7,4,0,1,5,17,1,2,20,3,0,0,3,35
JOLIET PCT 017,1305,19,1,2,22,10,2,0,12,19,3,2,24,6,1,0,7,65
JOLIET PCT 018,1359,22,5,3,30,5,2,2,9,42,4,6,52,2,0,2,4,95
JOLIET PCT 019,1172,20,5,1,26,6,2,0,8,16,7,1,24,2,1,0,3,61
JOLIET PCT 020,1128,16,1,1,18,1,1,0,2,17,6,6,29,8,2,0,10,59
JOLIET PCT 021,677,4,0,0,4,3,1,0,4,10,3,0,13,1,1,1,3,24
JOLIET PCT 022,1038,8,0,1,9,7,0,0,7,8,1,3,12,1,2,0,3,31
JOLIET PCT 023,990,7,1,0,8,3,0,0,3,5,1,1,7,1,1,0,2,20
JOLIET PCT 024,1101,10,2,2,14,2,2,0,4,13,2,1,16,3,0,0,3,37
JOLIET PCT 025,920,7,1,0,8,1,0,1,2,13,2,1,16,3,0,1,4,30
JOLIET PCT 026,1197,7,0,1,8,2,0,0,2,14,4,2,20,1,2,0,3,33
JOLIET PCT 027,878,6,0,0,6,0,0,0,0,3,0,0,3,2,0,3,5,14
JOLIET PCT 028,881,3,2,0,5,1,0,0,1,3,0,0,3,1,0,0,1,10
JOLIET PCT 029,1204,3,1,0,4,4,2,0,6,10,2,4,16,1,0,0,1,27
JOLIET PCT 030,1203,14,3,0,17,7,0,0,7,21,0,4,25,3,0,0,3,52
JOLIET PCT 031,1204,9,2,0,11,4,3,0,7,17,4,1,22,6,1,2,9,49
JOLIET PCT 032,898,1,0,0,1,1,0,0,1,0,3,0,3,0,0,0,0,5
JOLIET PCT 033,1088,13,6,0,19,9,1,0,10,22,1,3,26,3,1,0,4,59
JOLIET PCT 034,977,2,3,1,6,3,0,1,4,1,5,0,6,0,0,0,0,16
JOLIET PCT 035,1102,7,1,1,9,1,1,0,2,11,3,3,17,3,0,2,5,33
JOLIET PCT 036,949,4,1,1,6,3,0,0,3,2,1,2,5,0,0,0,0,14
JOLIET PCT 037,1243,9,4,2,15,5,1,0,6,19,3,2,24,6,0,0,6,51
LOCKPORT PCT 001,1800,66,16,22,104,20,2,6,28,60,6,30,96,18,3,6,27,255
LOCKPORT PCT 002,1828,12,8,6,26,12,3,0,15,21,2,4,27,11,0,0,11,79
LOCKPORT PCT 003,1692,14,3,1,18,9,0,2,11,20,7,1,28,0,1,0,1,58
LOCKPORT PCT 004,1434,16,3,1,20,6,0,2,8,20,1,3,24,3,0,1,4,56
LOCKPORT PCT 005,1418,37,6,1,44,23,7,0,30,53,7,5,65,14,4,0,18,157
LOCKPORT PCT 006,2015,11,2,5,18,8,6,5,19,9,6,3,18,6,0,0,6,61
LOCKPORT PCT 007,1939,13,3,0,16,7,1,3,11,20,4,0,24,6,0,0,6,57
LOCKPORT PCT 008,1626,9,0,0,9,4,1,0,5,10,1,0,11,1,0,3,4,29
LOCKPORT PCT 009,2131,43,2,5,50,10,2,3,15,50,4,12,66,18,2,1,21,152
LOCKPORT PCT 010,1496,32,8,6,46,6,6,1,13,43,7,6,56,8,2,0,10,125
LOCKPORT PCT 011,1439,28,10,1,39,4,5,1,10,46,13,4,63,9,3,1,13,125
LOCKPORT PCT 012,1553,32,13,2,47,8,0,1,9,37,13,6,56,7,1,4,12,124
LOCKPORT PCT 013,1926,69,7,16,92,33,9,8,50,74,11,17,102,27,1,2,30,274
LOCKPORT PCT 014,1371,29,4,6,39,20,0,2,22,42,4,2,48,8,2,1,11,120
LOCKPORT PCT 015,1356,22,2,2,26,4,1,0,5,11,4,2,17,7,1,0,8,56
LOCKPORT PCT 016,1521,28,4,0,32,12,1,2,15,39,6,3,48,11,6,0,17,112
LOCKPORT PCT 017,1431,38,9,4,51,11,5,1,17,42,15,5,62,20,5,2,27,157
LOCKPORT PCT 018,1635,15,6,2,23,7,5,2,14,45,9,8,62,4,1,0,5,104
LOCKPORT PCT 019,1526,23,8,6,37,11,3,2,16,36,8,6,50,11,8,3,22,125
LOCKPORT PCT 020,1180,24,1,2,27,11,0,4,15,44,1,5,50,7,3,1,11,103
LOCKPORT PCT 021,1351,10,0,1,11,8,0,1,9,24,3,6,33,3,0,0,3,56
LOCKPORT PCT 022,1133,24,1,3,28,3,0,2,5,40,6,5,51,5,0,1,6,90
LOCKPORT PCT 023,1027,7,1,1,9,8,0,0,8,23,3,5,31,5,1,0,6,54
LOCKPORT PCT 024,855,3,2,0,5,1,0,1,2,3,1,0,4,0,1,0,1,12
MANHATTAN PCT 001,1699,57,8,6,71,12,6,0,18,58,12,9,79,12,0,4,16,184
MANHATTAN PCT 002,2095,54,8,1,63,9,2,0,11,82,10,7,99,26,1,0,27,200
MANHATTAN PCT 003,1355,37,6,4,47,8,2,0,10,64,13,8,85,13,7,1,21,163
MANHATTAN PCT 004,1614,31,6,2,39,10,2,0,12,69,8,2,79,10,2,0,12,142
MANHATTAN PCT 005,1990,47,7,5,59,12,2,0,14,72,23,7,102,8,3,0,11,186
MONEE PCT 001,1095,3,0,3,6,1,1,0,2,7,4,8,19,0,0,2,2,29
MONEE PCT 002,1286,4,0,0,4,4,0,1,5,2,2,0,4,1,0,1,2,15
MONEE PCT 003,1470,26,1,1,28,6,0,0,6,29,4,0,33,14,1,2,17,84
MONEE PCT 004,1538,18,1,3,22,10,0,1,11,27,3,4,34,10,1,3,14,81
MONEE PCT 005,1027,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2
MONEE PCT 006,814,2,0,0,2,0,1,0,1,1,0,0,1,0,1,0,1,5
MONEE PCT 007,1181,3,0,1,4,5,0,0,5,2,2,1,5,1,0,0,1,15
MONEE PCT 008,1370,26,0,4,30,2,0,0,2,29,5,4,38,10,1,1,12,82
NEW LENOX PCT 001,1405,32,3,2,37,12,1,0,13,34,5,4,43,8,0,0,8,101
NEW LENOX PCT 002,1905,46,11,10,67,14,6,4,24,62,19,17,98,14,2,2,18,207
NEW LENOX PCT 003,1231,35,13,1,49,6,2,0,8,35,10,7,52,7,1,1,9,118
NEW LENOX PCT 004,1036,20,4,2,26,11,2,1,14,38,7,10,55,14,1,4,19,114
NEW LENOX PCT 005,1337,28,12,3,43,1,1,0,2,38,5,2,45,17,6,4,27,117
NEW LENOX PCT 006,1521,39,15,7,61,18,1,2,21,52,7,6,65,36,3,0,39,186
NEW LENOX PCT 007,1700,22,29,4,55,2,3,4,9,31,26,13,70,16,10,9,35,169
NEW LENOX PCT 008,1357,38,10,8,56,11,0,2,13,44,5,4,53,13,1,6,20,142
NEW LENOX PCT 009,955,27,9,0,36,3,1,0,4,36,3,5,44,12,0,0,12,96
NEW LENOX PCT 010,1638,39,16,5,60,9,6,1,16,68,31,11,110,16,6,2,24,210
NEW LENOX PCT 011,1856,48,12,5,65,10,3,2,15,66,10,3,79,14,9,1,24,183
NEW LENOX PCT 012,1416,33,5,3,41,12,4,2,18,53,12,3,68,12,2,4,18,145
NEW LENOX PCT 013,1779,41,6,7,54,10,5,4,19,63,11,4,78,9,1,0,10,161
NEW LENOX PCT 014,2169,61,3,4,68,13,3,3,19,69,19,6,94,14,5,4,23,204
NEW LENOX PCT 015,1568,53,8,7,68,4,3,1,8,51,17,4,72,13,1,4,18,166
NEW LENOX PCT 016,1391,40,7,6,53,9,4,1,14,42,13,2,57,7,3,7,17,141
NEW LENOX PCT 017,1392,49,17,7,73,6,6,1,13,55,14,4,73,12,0,4,16,175
NEW LENOX PCT 018,1793,40,7,4,51,5,2,0,7,36,10,2,48,15,1,0,16,122
NEW LENOX PCT 019,2129,67,19,6,92,12,1,1,14,45,19,7,71,11,4,6,21,198
