JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 32 PRECINCT 23,CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,93,129,222
CITY OF CHICAGO:WARD 32 PRECINCT 24,CITY OF CHICAGO:WARD 32 PRECINCT 24,32,24,31,70,101
CITY OF CHICAGO:WARD 32 PRECINCT 25,CITY OF CHICAGO:WARD 32 PRECINCT 25,32,25,89,174,263
CITY OF CHICAGO:WARD 32 PRECINCT 26,CITY OF CHICAGO:WARD 32 PRECINCT 26,32,26,111,209,320
CITY OF CHICAGO:WARD 32 PRECINCT 27,CITY OF CHICAGO:WARD 32 PRECINCT 27,32,27,117,241,358
CITY OF CHICAGO:WARD 32 PRECINCT 28,CITY OF CHICAGO:WARD 32 PRECINCT 28,32,28,39,64,103
CITY OF CHICAGO:WARD 32 PRECINCT 29,CITY OF CHICAGO:WARD 32 PRECINCT 29,32,29,104,203,307
CITY OF CHICAGO:WARD 32 PRECINCT 30,CITY OF CHICAGO:WARD 32 PRECINCT 30,32,30,116,237,353
CITY OF CHICAGO:WARD 33 PRECINCT 01,CITY OF CHICAGO:WARD 33 PRECINCT 01,33,1,189,345,534
CITY OF CHICAGO:WARD 33 PRECINCT 02,CITY OF CHICAGO:WARD 33 PRECINCT 02,33,2,205,346,551
CITY OF CHICAGO:WARD 33 PRECINCT 03,CITY OF CHICAGO:WARD 33 PRECINCT 03,33,3,135,238,373
CITY OF CHICAGO:WARD 33 PRECINCT 04,CITY OF CHICAGO:WARD 33 PRECINCT 04,33,4,184,301,485
CITY OF CHICAGO:WARD 33 PRECINCT 05,CITY OF CHICAGO:WARD 33 PRECINCT 05,33,5,149,249,398
CITY OF CHICAGO:WARD 33 PRECINCT 06,CITY OF CHICAGO:WARD 33 PRECINCT 06,33,6,172,257,429
CITY OF CHICAGO:WARD 33 PRECINCT 07,CITY OF CHICAGO:WARD 33 PRECINCT 07,33,7,183,272,455
CITY OF CHICAGO:WARD 33 PRECINCT 08,CITY OF CHICAGO:WARD 33 PRECINCT 08,33,8,122,175,297
CITY OF CHICAGO:WARD 33 PRECINCT 09,CITY OF CHICAGO:WARD 33 PRECINCT 09,33,9,136,184,320
CITY OF CHICAGO:WARD 33 PRECINCT 10,CITY OF CHICAGO:WARD 33 PRECINCT 10,33,10,115,181,296
CITY OF CHICAGO:WARD 33 PRECINCT 11,CITY OF CHICAGO:WARD 33 PRECINCT 11,33,11,101,136,237
CITY OF CHICAGO:WARD 33 PRECINCT 12,CITY OF CHICAGO:WARD 33 PRECINCT 12,33,12,129,240,369
CITY OF CHICAGO:WARD 33 PRECINCT 13,CITY OF CHICAGO:WARD 33 PRECINCT 13,33,13,118,233,351
CITY OF CHICAGO:WARD 33 PRECINCT 14,CITY OF CHICAGO:WARD 33 PRECINCT 14,33,14,149,326,475
CITY OF CHICAGO:WARD 33 PRECINCT 15,CITY OF CHICAGO:WARD 33 PRECINCT 15,33,15,123,227,350
CITY OF CHICAGO:WARD 33 PRECINCT 16,CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,128,352,480
CITY OF CHICAGO:WARD 33 PRECINCT 17,CITY OF CHICAGO:WARD 33 PRECINCT 17,33,17,161,275,436
CITY OF CHICAGO:WARD 34 PRECINCT 07,CITY OF CHICAGO:WARD 34 PRECINCT 07,34,7,31,69,100
CITY OF CHICAGO:WARD 34 PRECINCT 09,CITY OF CHICAGO:WARD 34 PRECINCT 09,34,9,19,42,61
CITY OF CHICAGO:WARD 34 PRECINCT 10,CITY OF CHICAGO:WARD 34 PRECINCT 10,34,10,33,57,90
CITY OF CHICAGO:WARD 34 PRECINCT 11,CITY OF CHICAGO:WARD 34 PRECINCT 11,34,11,80,93,173
CITY OF CHICAGO:WARD 34 PRECINCT 12,CITY OF CHICAGO:WARD 34 PRECINCT 12,34,12,64,109,173
CITY OF CHICAGO:WARD 34 PRECINCT 13,CITY OF CHICAGO:WARD 34 PRECINCT 13,34,13,106,163,269
CITY OF CHICAGO:WARD 34 PRECINCT 14,CITY OF CHICAGO:WARD 34 PRECINCT 14,34,14,85,139,224
