JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:7700002,COOK:Lemont Precinct 2,61,61,122
COOK:7700003,COOK:Lemont Precinct 3,70,86,156
COOK:7700004,COOK:Lemont Precinct 4,54,56,110
COOK:7700005,COOK:Lemont Precinct 5,69,66,135
COOK:7700006,COOK:Lemont Precinct 6,83,76,159
COOK:7700007,COOK:Lemont Precinct 7,72,47,119
COOK:7700008,COOK:Lemont Precinct 8,99,84,183
COOK:7700009,COOK:Lemont Precinct 9,36,38,74
COOK:7700010,COOK:Lemont Precinct 10,69,55,124
COOK:7700011,COOK:Lemont Precinct 11,90,104,194
COOK:7700012,COOK:Lemont Precinct 12,97,74,171
COOK:7700013,COOK:Lemont Precinct 13,83,77,160
COOK:7700014,COOK:Lemont Precinct 14,56,69,125
COOK:7800001,COOK:Leyden Precinct 1,47,23,70
COOK:7800002,COOK:Leyden Precinct 2,43,30,73
COOK:7800003,COOK:Leyden Precinct 3,102,78,180
COOK:7800004,COOK:Leyden Precinct 4,69,57,126
COOK:7800005,COOK:Leyden Precinct 5,81,50,131
COOK:7800006,COOK:Leyden Precinct 6,96,70,166
COOK:7800007,COOK:Leyden Precinct 7,46,18,64
COOK:7800008,COOK:Leyden Precinct 8,98,57,155
COOK:7800009,COOK:Leyden Precinct 9,115,81,196
COOK:7800010,COOK:Leyden Precinct 10,89,71,160
COOK:7800011,COOK:Leyden Precinct 11,61,63,124
COOK:7800012,COOK:Leyden Precinct 12,25,23,48
COOK:7800013,COOK:Leyden Precinct 13,83,41,124
COOK:7800014,COOK:Leyden Precinct 14,65,34,99
COOK:7800015,COOK:Leyden Precinct 15,119,51,170
COOK:7800016,COOK:Leyden Precinct 16,88,66,154
COOK:7800017,COOK:Leyden Precinct 17,43,43,86
COOK:7800018,COOK:Leyden Precinct 18,53,29,82
COOK:7800019,COOK:Leyden Precinct 19,92,52,144
COOK:7800020,COOK:Leyden Precinct 20,32,27,59
COOK:7800021,COOK:Leyden Precinct 21,55,17,72
COOK:7800022,COOK:Leyden Precinct 22,75,57,132
COOK:7800023,COOK:Leyden Precinct 23,131,116,247
COOK:7800024,COOK:Leyden Precinct 24,74,44,118
COOK:7800025,COOK:Leyden Precinct 25,44,35,79
COOK:7800026,COOK:Leyden Precinct 26,155,109,264
COOK:7800027,COOK:Leyden Precinct 27,16,12,28
COOK:7800028,COOK:Leyden Precinct 28,38,27,65
COOK:7800029,COOK:Leyden Precinct 29,50,23,73
COOK:7800030,COOK:Leyden Precinct 30,75,55,130
COOK:7800031,COOK:Leyden Precinct 31,95,53,148
COOK:7800032,COOK:Leyden Precinct 32,83,54,137
COOK:7800033,COOK:Leyden Precinct 33,80,53,133
COOK:7800034,COOK:Leyden Precinct 34,64,32,96
COOK:7800035,COOK:Leyden Precinct 35,32,24,56
COOK:7800036,COOK:Leyden Precinct 36,82,46,128
COOK:7800037,COOK:Leyden Precinct 37,53,24,77
COOK:7800038,COOK:Leyden Precinct 38,26,20,46
COOK:7800039,COOK:Leyden Precinct 39,55,34,89
COOK:7800040,COOK:Leyden Precinct 40,91,36,127
COOK:7800041,COOK:Leyden Precinct 41,41,25,66
COOK:7800042,COOK:Leyden Precinct 42,64,63,127
COOK:7800043,COOK:Leyden Precinct 43,86,38,124
COOK:7800044,COOK:Leyden Precinct 44,49,35,84
COOK:7800045,COOK:Leyden Precinct 45,38,35,73
COOK:7800046,COOK:Leyden Precinct 46,79,44,123
COOK:7800047,COOK:Leyden Precinct 47,62,47,109
COOK:7800048,COOK:Leyden Precinct 48,67,57,124
COOK:7800049,COOK:Leyden Precinct 49,106,73,179
COOK:7800050,COOK:Leyden Precinct 50,136,86,222
COOK:7900001,COOK:Lyons Precinct 1,18,13,31
COOK:7900002,COOK:Lyons Precinct 2,178,91,269
COOK:7900003,COOK:Lyons Precinct 3,69,41,110
COOK:7900004,COOK:Lyons Precinct 4,46,49,95
COOK:7900005,COOK:Lyons Precinct 5,140,83,223
COOK:7900006,COOK:Lyons Precinct 6,147,96,243
COOK:7900007,COOK:Lyons Precinct 7,247,88,335
COOK:7900008,COOK:Lyons Precinct 8,96,87,183
COOK:7900009,COOK:Lyons Precinct 9,196,88,284
COOK:7900010,COOK:Lyons Precinct 10,123,74,197
COOK:7900011,COOK:Lyons Precinct 11,110,77,187
COOK:7900012,COOK:Lyons Precinct 12,65,94,159
COOK:7900013,COOK:Lyons Precinct 13,77,31,108
COOK:7900014,COOK:Lyons Precinct 14,160,118,278
COOK:7900015,COOK:Lyons Precinct 15,128,106,234
COOK:7900016,COOK:Lyons Precinct 16,244,160,404
COOK:7900017,COOK:Lyons Precinct 17,81,81,162
COOK:7900018,COOK:Lyons Precinct 18,120,65,185
COOK:7900019,COOK:Lyons Precinct 19,99,40,139
COOK:7900020,COOK:Lyons Precinct 20,152,138,290
COOK:7900021,COOK:Lyons Precinct 21,156,131,287
COOK:7900022,COOK:Lyons Precinct 22,83,40,123
COOK:7900023,COOK:Lyons Precinct 23,101,78,179
COOK:7900024,COOK:Lyons Precinct 24,143,179,322
COOK:7900025,COOK:Lyons Precinct 25,81,77,158
COOK:7900026,COOK:Lyons Precinct 26,130,111,241
COOK:7900027,COOK:Lyons Precinct 27,78,46,124
COOK:7900028,COOK:Lyons Precinct 28,147,101,248
COOK:7900029,COOK:Lyons Precinct 29,54,56,110
COOK:7900030,COOK:Lyons Precinct 30,13,11,24
COOK:7900031,COOK:Lyons Precinct 31,97,82,179
COOK:7900032,COOK:Lyons Precinct 32,36,28,64
COOK:7900033,COOK:Lyons Precinct 33,25,19,44
COOK:7900034,COOK:Lyons Precinct 34,29,35,64
COOK:7900035,COOK:Lyons Precinct 35,48,39,87
COOK:7900036,COOK:Lyons Precinct 36,95,81,176
COOK:7900037,COOK:Lyons Precinct 37,71,46,117
COOK:7900038,COOK:Lyons Precinct 38,37,17,54
COOK:7900039,COOK:Lyons Precinct 39,125,92,217
COOK:7900040,COOK:Lyons Precinct 40,148,123,271
COOK:7900041,COOK:Lyons Precinct 41,49,45,94
COOK:7900042,COOK:Lyons Precinct 42,70,84,154
COOK:7900043,COOK:Lyons Precinct 43,97,79,176
COOK:7900044,COOK:Lyons Precinct 44,133,131,264
COOK:7900045,COOK:Lyons Precinct 45,204,121,325
COOK:7900046,COOK:Lyons Precinct 46,50,52,102
COOK:7900047,COOK:Lyons Precinct 47,117,114,231
COOK:7900048,COOK:Lyons Precinct 48,75,61,136
COOK:7900049,COOK:Lyons Precinct 49,55,40,95
COOK:7900050,COOK:Lyons Precinct 50,117,86,203
COOK:7900051,COOK:Lyons Precinct 51,72,40,112
COOK:7900052,COOK:Lyons Precinct 52,122,88,210
COOK:7900053,COOK:Lyons Precinct 53,76,83,159
COOK:7900054,COOK:Lyons Precinct 54,75,53,128
COOK:7900055,COOK:Lyons Precinct 55,72,85,157
COOK:7900056,COOK:Lyons Precinct 56,109,73,182
