JoinField,JoinField_alt,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
COOK:8700004,COOK:Palatine Precinct 4,3,6,5,7,0,41,25,0,87
COOK:8700005,COOK:Palatine Precinct 5,12,18,29,36,2,103,67,6,273
COOK:8700011,COOK:Palatine Precinct 11,8,11,11,12,2,38,35,4,121
COOK:8700013,COOK:Palatine Precinct 13,5,7,13,18,0,54,49,3,149
COOK:8700015,COOK:Palatine Precinct 15,16,17,26,18,5,64,53,8,207
COOK:8700016,COOK:Palatine Precinct 16,12,8,9,7,1,22,28,3,90
COOK:8700018,COOK:Palatine Precinct 18,0,5,3,6,0,6,10,0,30
COOK:8700019,COOK:Palatine Precinct 19,15,14,29,18,4,86,37,2,205
COOK:8700020,COOK:Palatine Precinct 20,5,7,5,6,1,27,27,2,80
COOK:8700021,COOK:Palatine Precinct 21,16,22,53,16,6,82,51,6,252
