UNIQUE_ID,JurisName,COUNTYFP,CountyName,PrecinctName,Registration,NAME20,ContestName,Paul Schimpf,Richard C. Irvin,Jesse Sullivan,Darren Bailey,Max Solomon,Gary Rabine,Write-In,Keisha S. Smith
COOK-:-8000018,COOK,31,COOK,8000018,851,COOK:8000018,GOVERNOR AND LIEUTENANT GOVERNOR,2,8,7,45,0,2,0,0
COOK-:-8000020,COOK,31,COOK,8000020,591,COOK:8000020,GOVERNOR AND LIEUTENANT GOVERNOR,4,10,3,31,0,2,0,0
COOK-:-8000021,COOK,31,COOK,8000021,1150,COOK:8000021,GOVERNOR AND LIEUTENANT GOVERNOR,9,25,17,45,0,15,0,0
COOK-:-8000022,COOK,31,COOK,8000022,1144,COOK:8000022,GOVERNOR AND LIEUTENANT GOVERNOR,5,23,11,36,2,7,0,0
COOK-:-8000023,COOK,31,COOK,8000023,1061,COOK:8000023,GOVERNOR AND LIEUTENANT GOVERNOR,1,10,10,41,2,7,0,0
COOK-:-8000024,COOK,31,COOK,8000024,1228,COOK:8000024,GOVERNOR AND LIEUTENANT GOVERNOR,8,30,27,62,3,10,0,0
COOK-:-8000025,COOK,31,COOK,8000025,1557,COOK:8000025,GOVERNOR AND LIEUTENANT GOVERNOR,10,43,23,52,0,7,0,0
COOK-:-8000026,COOK,31,COOK,8000026,963,COOK:8000026,GOVERNOR AND LIEUTENANT GOVERNOR,2,10,13,36,0,12,0,0
COOK-:-8000028,COOK,31,COOK,8000028,731,COOK:8000028,GOVERNOR AND LIEUTENANT GOVERNOR,2,5,1,6,0,0,0,0
COOK-:-8000029,COOK,31,COOK,8000029,1451,COOK:8000029,GOVERNOR AND LIEUTENANT GOVERNOR,5,38,24,55,5,9,0,0
COOK-:-8000030,COOK,31,COOK,8000030,2060,COOK:8000030,GOVERNOR AND LIEUTENANT GOVERNOR,19,46,51,67,2,24,0,0
COOK-:-8000031,COOK,31,COOK,8000031,1119,COOK:8000031,GOVERNOR AND LIEUTENANT GOVERNOR,5,12,18,33,1,6,0,0
COOK-:-8000032,COOK,31,COOK,8000032,1283,COOK:8000032,GOVERNOR AND LIEUTENANT GOVERNOR,6,12,16,47,0,11,0,0
COOK-:-8000033,COOK,31,COOK,8000033,1112,COOK:8000033,GOVERNOR AND LIEUTENANT GOVERNOR,1,2,3,3,0,1,0,0
COOK-:-8000034,COOK,31,COOK,8000034,1276,COOK:8000034,GOVERNOR AND LIEUTENANT GOVERNOR,2,12,12,40,1,6,1,0
COOK-:-8000035,COOK,31,COOK,8000035,1172,COOK:8000035,GOVERNOR AND LIEUTENANT GOVERNOR,2,9,3,27,0,9,0,0
COOK-:-8000036,COOK,31,COOK,8000036,848,COOK:8000036,GOVERNOR AND LIEUTENANT GOVERNOR,5,21,11,36,1,13,0,0
COOK-:-8000037,COOK,31,COOK,8000037,963,COOK:8000037,GOVERNOR AND LIEUTENANT GOVERNOR,4,12,19,34,1,14,0,0
COOK-:-8000038,COOK,31,COOK,8000038,778,COOK:8000038,GOVERNOR AND LIEUTENANT GOVERNOR,2,7,11,36,0,15,0,0
COOK-:-8000039,COOK,31,COOK,8000039,1099,COOK:8000039,GOVERNOR AND LIEUTENANT GOVERNOR,3,16,9,50,1,11,0,0
