JoinField,JoinField_alt,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
COOK:7200058,COOK:Bremen Precinct 58,15,12,10,4,2,14,57
COOK:7200059,COOK:Bremen Precinct 59,8,15,8,7,0,5,43
COOK:7200060,COOK:Bremen Precinct 60,3,13,9,6,2,15,48
COOK:7200061,COOK:Bremen Precinct 61,11,21,12,6,0,13,63
COOK:7200062,COOK:Bremen Precinct 62,7,10,8,13,4,10,52
COOK:7200063,COOK:Bremen Precinct 63,1,2,0,0,0,3,6
COOK:7200064,COOK:Bremen Precinct 64,8,23,14,3,5,15,68
COOK:7200065,COOK:Bremen Precinct 65,10,18,18,7,2,24,79
COOK:7200066,COOK:Bremen Precinct 66,0,3,0,4,2,0,9
COOK:7300001,COOK:Calumet Precinct 1,3,3,0,1,1,0,8
COOK:7300002,COOK:Calumet Precinct 2,3,3,4,1,0,2,13
COOK:7300003,COOK:Calumet Precinct 3,2,3,1,1,0,0,7
COOK:7300004,COOK:Calumet Precinct 4,1,1,1,0,0,1,4
COOK:7300005,COOK:Calumet Precinct 5,4,2,0,1,2,1,10
COOK:7300006,COOK:Calumet Precinct 6,1,3,2,0,0,0,6
COOK:7300007,COOK:Calumet Precinct 7,1,0,2,1,0,5,9
COOK:7300008,COOK:Calumet Precinct 8,0,2,0,0,1,5,8
COOK:7300009,COOK:Calumet Precinct 9,0,0,0,0,1,4,5
COOK:7300010,COOK:Calumet Precinct 10,4,0,2,1,0,0,7
COOK:7300011,COOK:Calumet Precinct 11,0,0,2,0,0,1,3
COOK:9800001,COOK:Cicero Precinct 1,2,4,1,2,0,1,10
COOK:9800002,COOK:Cicero Precinct 2,1,1,1,0,0,0,3
COOK:9800003,COOK:Cicero Precinct 3,4,2,2,2,0,3,13
COOK:9800004,COOK:Cicero Precinct 4,3,2,1,0,0,1,7
COOK:9800005,COOK:Cicero Precinct 5,4,7,9,5,1,1,27
COOK:9800006,COOK:Cicero Precinct 6,3,2,2,1,0,1,9
COOK:9800007,COOK:Cicero Precinct 7,1,1,0,0,1,1,4
COOK:9800008,COOK:Cicero Precinct 8,4,2,3,0,0,1,10
COOK:9800009,COOK:Cicero Precinct 9,1,1,1,0,1,3,7
COOK:9800010,COOK:Cicero Precinct 10,5,7,0,3,1,4,20
COOK:9800011,COOK:Cicero Precinct 11,2,4,3,6,1,5,21
COOK:9800012,COOK:Cicero Precinct 12,4,6,4,2,2,4,22
