JoinField,JoinField_alt,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,78,121,199
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,161,256,417
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,73,94,167
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,159,154,313
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,125,194,319
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,150,147,297
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,246,325,571
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,116,205,321
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,102,188,290
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,212,383,595
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,171,304,475
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,171,297,468
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,204,325,529
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,211,346,557
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,2,5,7
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,122,217,339
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,151,312,463
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,158,183,341
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,115,128,243
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,86,81,167
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,127,208,335
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,159,180,339
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,76,163,239
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,290,406,696
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,199,300,499
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,205,347,552
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,110,163,273
COOK:7800001,COOK:Leyden Precinct 1,26,36,62
COOK:7800002,COOK:Leyden Precinct 2,37,31,68
COOK:7800004,COOK:Leyden Precinct 4,37,51,88
COOK:7800005,COOK:Leyden Precinct 5,68,54,122
COOK:7800006,COOK:Leyden Precinct 6,75,76,151
COOK:7800007,COOK:Leyden Precinct 7,29,30,59
COOK:7800008,COOK:Leyden Precinct 8,67,82,149
COOK:7800012,COOK:Leyden Precinct 12,17,21,38
COOK:7800017,COOK:Leyden Precinct 17,38,41,79
COOK:7800018,COOK:Leyden Precinct 18,32,43,75
COOK:7800019,COOK:Leyden Precinct 19,54,74,128
COOK:7800023,COOK:Leyden Precinct 23,72,138,210
COOK:7800025,COOK:Leyden Precinct 25,34,37,71
COOK:7800027,COOK:Leyden Precinct 27,13,10,23
COOK:7800028,COOK:Leyden Precinct 28,29,29,58
COOK:7800032,COOK:Leyden Precinct 32,54,77,131
COOK:7800034,COOK:Leyden Precinct 34,48,38,86
COOK:7800036,COOK:Leyden Precinct 36,51,60,111
COOK:7800037,COOK:Leyden Precinct 37,35,38,73
COOK:7800038,COOK:Leyden Precinct 38,17,26,43
COOK:7800039,COOK:Leyden Precinct 39,36,52,88
COOK:7800042,COOK:Leyden Precinct 42,47,69,116
COOK:7800044,COOK:Leyden Precinct 44,36,42,78
COOK:7800045,COOK:Leyden Precinct 45,36,35,71
COOK:7800046,COOK:Leyden Precinct 46,56,60,116
COOK:7800049,COOK:Leyden Precinct 49,72,92,164
COOK:7800050,COOK:Leyden Precinct 50,85,117,202
COOK:8000001,COOK:Maine Precinct 1,33,36,69
COOK:8000002,COOK:Maine Precinct 2,53,54,107
COOK:8000003,COOK:Maine Precinct 3,27,12,39
COOK:8000004,COOK:Maine Precinct 4,93,157,250
COOK:8000005,COOK:Maine Precinct 5,65,86,151
COOK:8000006,COOK:Maine Precinct 6,120,156,276
COOK:8000007,COOK:Maine Precinct 7,51,74,125
COOK:8000008,COOK:Maine Precinct 8,100,137,237
COOK:8000009,COOK:Maine Precinct 9,115,159,274
COOK:8000010,COOK:Maine Precinct 10,106,173,279
COOK:8000011,COOK:Maine Precinct 11,35,43,78
COOK:8000012,COOK:Maine Precinct 12,38,72,110
COOK:8000013,COOK:Maine Precinct 13,63,79,142
COOK:8000014,COOK:Maine Precinct 14,86,142,228
COOK:8000015,COOK:Maine Precinct 15,70,79,149
